ProductID,Org,Des,Flight1,Flight2,Flight3,Fare,Total_Demand
P000000,BER,BOD,AA0040BERBOD,.,.,230.0,2.29
P000001,BER,BOD,AA0040BERBOD,.,.,100.0,2.0700000000000003
P000002,BER,BOD,AA0040BERBOD,.,.,105.0,5.862767245813432
P000003,BER,BOD,AA0040BERBOD,.,.,94.0,0.0
P000004,BER,BOD,AA0040BERBOD,.,.,145.0,13.12
P000005,BER,BOD,AA0040BERBOD,.,.,209.0,3.67
P000006,BER,BOD,AA0040BERBOD,.,.,79.0,8.792214528586605
P000007,BER,BOD,AA0040BERBOD,.,.,45.0,0.0
P000008,BER,BOD,AA0040BERBOD,.,.,98.0,22.899344969474143
P000009,BER,BOD,AA0040BERBOD,.,.,127.0,3.37
P000010,BER,BOD,AA0040BERBOD,.,.,184.0,6.3
P000011,BER,BOD,AA0048BERBOD,.,.,230.0,1.69
P000012,BER,BOD,AA0048BERBOD,.,.,100.0,0.0
P000013,BER,BOD,AA0048BERBOD,.,.,105.0,5.862767245813432
P000014,BER,BOD,AA0048BERBOD,.,.,94.0,0.0
P000015,BER,BOD,AA0048BERBOD,.,.,145.0,14.47
P000016,BER,BOD,AA0048BERBOD,.,.,209.0,11.1
P000017,BER,BOD,AA0048BERBOD,.,.,79.0,8.356884204177723
P000018,BER,BOD,AA0048BERBOD,.,.,45.0,0.0
P000019,BER,BOD,AA0048BERBOD,.,.,98.0,22.899344969474143
P000020,BER,BOD,AA0048BERBOD,.,.,127.0,11.54395999178593
P000021,BER,BOD,AA0048BERBOD,.,.,184.0,4.3
P000022,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,512.0,0.0
P000023,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,252.0,0.0
P000024,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,512.0,5.727960028586975
P000025,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,245.0,0.0
P000026,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,341.0,0.0
P000027,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,399.0,0.0
P000028,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,40.0,0.0
P000029,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,492.0,0.0
P000030,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,301.0,23.00670051942777
P000031,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,388.0,0.0
P000032,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,349.0,0.0
P000033,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,512.0,0.0
P000034,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,252.0,0.0
P000035,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,512.0,0.0
P000036,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,245.0,0.0
P000037,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,341.0,0.0
P000038,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,399.0,0.0
P000039,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,40.0,8.223699092306736
P000040,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,492.0,0.0
P000041,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,301.0,0.0
P000042,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,388.0,0.0
P000043,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,349.0,0.0
P000044,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,512.0,0.0
P000045,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,252.0,0.0
P000046,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,512.0,0.0
P000047,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,245.0,0.0
P000048,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,341.0,12.973397023694748
P000049,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,399.0,0.0
P000050,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,40.0,0.0
P000051,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,492.0,0.0
P000052,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,301.0,22.899344969474143
P000053,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,388.0,0.0
P000054,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,349.0,0.0
P000055,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,512.0,0.0
P000056,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,252.0,0.0
P000057,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,512.0,0.0
P000058,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,245.0,0.0
P000059,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,341.0,12.68301623932236
P000060,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,399.0,0.0
P000061,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,40.0,0.0
P000062,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,492.0,0.0
P000063,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,301.0,0.0
P000064,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,388.0,0.0
