Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P004342,107.05,100.87,0.05,107.0,90.0,4.5,AA0521CVSTFB,AA0521,F0C0Y76,AA0521CVSTFB,5.545
P014776,167.15,158.15,65.15,102.0,156.0,10163.4,AA0259QWSMBY,AA0259,F16C0Y165,AA0259QWSMBY,7.8
P010755,95.0,99.09,0.0,95.0,88.0,0.0,AA0477MBYTFB,AA0477,F0C0Y76,AA0477MBYTFB,5.785
P013109,122.9,117.05,29.05,93.85,83.0,2411.15,AA0560QEYMBY,AA0560,F16C0Y165,AA0560QEYMBY,4.15
P010744,119.0,116.42,26.25,92.75,88.0,2310.0,AA0471MBYTFB,AA0471,F16C0Y165,AA0471MBYTFB,4.4
P033292,80.8,89.83,0.0,80.8,160.0,0.0,AA0858PHHTFB,AA0858,F16C0Y165,AA0858PHHTFB,11.1725
P015793,79.75,83.87,0.05,79.7,92.0,4.6,AA0485TBOTFB,AA0485,F0C0Y76,AA0485TBOTFB,6.1225
P006542,88.2,85.03,12.15,76.05,99.0,1202.85,AA0249HEMMBY,AA0249,F16C0Y165,AA0249HEMMBY,5.225
P031743,122.45,122.97,49.4,73.05,73.0,3606.2,AA3475MHCTFB,AA3475,F0C0Y76,AA3475MHCTFB,3.65
P003913,72.3,68.89,0.0,72.3,133.0,0.0,AA0035CPTQEY,AA0035,F0C0Y76,AA0035CPTQEY,7.8375
P010480,71.9,68.15,0.65,71.25,84.0,54.6,AA0565MBYQEY,AA0565,F16C0Y165,AA0565MBYQEY,5.2
P003759,118.3,126.95,47.4,70.9,85.0,4029.0,AA0628CMJMBT,AA0628,F16C0Y165,AA0628CMJMBT,4.25
P031903,109.8,111.96,41.95,67.85,175.0,7341.25,AA0848MJITKD,AA0848,F0C0Y76,AA0848MJITKD,8.75
P010458,92.45,88.33,25.6,66.85,84.0,2150.4,AA0561MBYQEY,AA0561,F0C0Y76,AA0561MBYQEY,4.2
P016387,97.25,90.34,30.45,66.8,101.0,3075.45,AA0668TFBBVT,AA0668,F16C0Y165,AA0668TFBBVT,5.05
