Task,Origin,Destination,Assigned_Fleet_5sc,Expected_Load_5sc,Profit_5sc,Assigned_Fleet_20sc,Expected_Load_20sc,Profit_20sc,Transition
AA0045,BOD,CFU,F0C0Y76,88.68,10358.5,F0C0Y72,90.69,10282.97,F0C0Y76 -> F0C0Y72
AA0046,CFU,BOD,F0C0Y76,59.74,7144.0,F0C0Y72,59.79,6528.5,F0C0Y76 -> F0C0Y72
AA0056,KOV,TFB,F12C12Y48,65.83,1938.0,F0C0Y76,37.43,155.07,F12C12Y48 -> F0C0Y76
AA0184,GBJ,BOD,F12C12Y48,100.0,5711.93,F0C0Y76,75.99,6196.15,F12C12Y48 -> F0C0Y76
AA0188,GBJ,BOD,F0C0Y76,78.95,6338.4,F0C0Y72,80.21,5968.73,F0C0Y76 -> F0C0Y72
AA0195,BOD,GBJ,F12C12Y48,32.5,584.17,F0C0Y72,20.21,33.42,F12C12Y48 -> F0C0Y72
AA0354,TFB,PBL,F0C0Y72,87.78,2039.2,F12C12Y48,98.96,1569.75,F0C0Y72 -> F12C12Y48
AA0477,MBY,TFB,F16C0Y165,100.0,6929.9,F0C0Y76,100.0,4779.97,F16C0Y165 -> F0C0Y76
AA0498,TFB,TBO,F0C0Y76,100.0,2992.27,F16C0Y165,63.42,-490.55,F0C0Y76 -> F16C0Y165
AA0521,CVS,TFB,F16C0Y165,100.0,7335.9,F0C0Y76,100.0,5057.0,F16C0Y165 -> F0C0Y76
AA0529,CVS,TFB,F0C0Y76,100.0,4420.27,F16C0Y165,89.61,6080.2,F0C0Y76 -> F16C0Y165
AA0573,TBO,QEY,F0C0Y76,100.0,3866.73,F16C0Y165,91.76,5439.82,F0C0Y76 -> F16C0Y165
AA0699,HFH,TFB,F0C0Y76,100.0,6366.83,F16C0Y165,86.39,9405.46,F0C0Y76 -> F16C0Y165
AA0703,MBY,ZWS,F0C0Y76,100.0,5725.07,F16C0Y165,91.55,8563.8,F0C0Y76 -> F16C0Y165
BA2002,TFB,ZLN,F12C0Y112,86.43,3937.2,F16C0Y165,61.76,4242.32,F12C0Y112 -> F16C0Y165
BA2034,SEN,QEY,F16C0Y165,69.82,5227.8,F0C0Y76,100.0,4480.43,F16C0Y165 -> F0C0Y76
BA2039,TFB,QEY,F16C0Y165,38.91,1454.13,F0C0Y76,82.89,3286.29,F16C0Y165 -> F0C0Y76
BA2069,FBU,TFB,F0C0Y76,40.53,1589.43,F12C12Y48,67.08,2004.95,F0C0Y76 -> F12C12Y48
BA2086,TFB,BMX,F12C12Y48,100.0,3851.0,F0C0Y76,80.86,4258.67,F12C12Y48 -> F0C0Y76
BA2096,TFB,BMX,F0C0Y76,82.37,2615.43,F12C12Y48,99.48,2123.48,F0C0Y76 -> F12C12Y48
BA2104,TFB,QTD,F12C12Y48,86.67,2271.3,F0C0Y76,49.8,1634.46,F12C12Y48 -> F0C0Y76
BA2107,QTD,TFB,F12C12Y48,87.92,1915.1,F0C0Y76,55.99,1567.09,F12C12Y48 -> F0C0Y76
BA2129,TFB,QEY,F16C0Y165,38.42,1729.5,F0C0Y76,84.01,3576.68,F16C0Y165 -> F0C0Y76
BA2133,CPJ,TFB,F0C0Y72,87.22,2936.87,F0C0Y76,89.21,3524.79,F0C0Y72 -> F0C0Y76
BA2151,TFB,QEY,F0C0Y76,100.0,4582.9,F16C0Y165,57.42,4009.05,F0C0Y76 -> F16C0Y165
