Airport,Fleet,Grounded_Count
BER,F12C0Y112,1.0
BMX,F0C0Y76,1.0
BOD,F0C0Y76,1.0
BOD,F16C0Y165,1.0
CAO,F0C0Y76,1.0
CFU,F0C0Y76,1.0
CJM,F16C0Y165,1.0
CMJ,F16C0Y165,1.0
CPJ,F0C0Y76,2.0
CPJ,F16C0Y165,1.0
CVS,F16C0Y165,1.0
EVU,F12C12Y48,1.0
FBU,F0C0Y76,1.0
FVH,F16C0Y165,1.0
GBJ,F16C0Y165,1.0
GBU,F0C0Y76,1.0
GDB,F0C0Y76,1.0
HFH,F16C0Y165,2.0
HUG,F8C12Y126,39.0
HUG,F12C0Y132,8.0
HUG,F8C12Y99,9.0
HUG,F12C12Y48,10.0
HUG,F0C0Y72,4.0
HUG,F0C0Y76,1.0
HUG,F12C0Y112,9.0
HUG,F12C30Y117,44.0
HUG,F16C0Y165,1.0
IMO,F16C0Y165,1.0
IOM,F16C0Y165,1.0
LUO,F16C0Y165,1.0
MBT,F16C0Y165,1.0
MBY,F0C0Y76,1.0
MBY,F16C0Y165,1.0
MHC,F0C0Y76,3.0
MXT,F0C0Y76,1.0
MXT,F16C0Y165,1.0
NGS,F16C0Y165,1.0
NNI,F0C0Y76,1.0
NTP,F16C0Y165,1.0
PBL,F0C0Y76,2.0
POU,F0C0Y76,1.0
QEY,F0C0Y76,1.0
QEY,F16C0Y165,1.0
QIY,F16C0Y165,1.0
QTD,F0C0Y76,1.0
QTD,F16C0Y165,1.0
QTQ,F0C0Y76,1.0
QVX,F0C0Y76,1.0
SEN,F16C0Y165,1.0
SOP,F16C0Y165,1.0
TBO,F16C0Y165,1.0
TCB,F16C0Y165,1.0
TFB,F0C0Y76,2.0
TFB,F16C0Y165,4.0
TGP,F16C0Y165,1.0
TKD,F0C0Y76,2.0
TNG,F16C0Y165,1.0
TOB,F0C0Y76,1.0
TUT,F0C0Y76,1.0
TUT,F16C0Y165,1.0
ZLN,F0C0Y76,6.0
ZWS,F0C0Y76,1.0
ZWS,F16C0Y165,1.0
ZZK,F16C0Y165,1.0
