Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Total_Passengers,Load_Factor(%),Bottleneck_or_Cost_Constrained
AA0132BODQEY,AA0132,F16C0Y165,165,157.09,95.21,No
AA0234QEYTGP,super_AA0234,F16C0Y165,165,165.0,100.0,No
AA0502TFBTOB,AA0502,F16C0Y165,165,165.0,100.0,No
AA0585TOBQEY,AA0585,F0C0Y76,76,76.0,100.0,No
AA0521CVSTFB,AA0521,F16C0Y165,165,165.0,100.0,No
BA2638PBLTFB,BA2638,F16C0Y165,165,165.0,100.0,No
AA0095TFBBOD,AA0095,F16C0Y165,165,165.0,100.0,No
AA0583TOBQEY,AA0583,F16C0Y165,165,165.0,100.0,No
AA0051GBJCSX,super_AA0051,F0C0Y76,76,74.07,97.46,Yes
BA2609FVHQEY,super_BA2609,F16C0Y165,165,165.0,100.0,No
AA3463POUQEY,AA3463,F16C0Y165,165,165.0,100.0,No
AA0303TGPTFB,AA0303,F16C0Y165,165,165.0,100.0,No
AA0820PHHTNG,super_AA0820,F16C0Y165,165,165.0,100.0,No
AA0073TJUKOV,super_AA0073,F16C0Y165,165,107.19,64.96,Yes
BA2438TFBHFH,BA2438,F16C0Y165,165,165.0,100.0,No
BA2355HFHQEY,BA2355,F16C0Y165,165,165.0,100.0,No
BA2386TFBZZK,BA2386,F16C0Y165,165,165.0,100.0,No
BA2627TFBQEY,BA2627,F16C0Y165,165,165.0,100.0,No
AA0686QEYPSE,AA0686,F16C0Y165,165,165.0,100.0,No
AA0234TGPTKE,super_AA0234,F16C0Y165,165,106.71,64.67,No
BA2633QEYTNG,BA2633,F16C0Y165,165,165.0,100.0,No
AA3297EVUBOD,AA3297,F12C12Y48,48,48.0,100.0,No
AA0064LUOTFB,super_AA0064,F16C0Y165,165,165.0,100.0,No
BA2233ZWSTFB,BA2233,F16C0Y165,165,165.0,100.0,No
BA2235HFHTFB,BA2235,F16C0Y165,165,165.0,100.0,No
AA0605MBTTFB,AA0605,F16C0Y165,165,165.0,100.0,No
AA0878PHHTFB,AA0878,F16C0Y165,165,165.0,100.0,No
