Leg,Shadow_Price
AA0132BODQEY,0.0
AA0234QEYTGP,82.0
AA0502TFBTOB,89.0
AA0585TOBQEY,85.0
AA0521CVSTFB,90.0
BA2638PBLTFB,60.0
AA0095TFBBOD,219.0
AA0583TOBQEY,85.0
AA0051GBJCSX,0.0
BA2609FVHQEY,47.0
AA3463POUQEY,57.0
AA0303TGPTFB,83.0
AA0820PHHTNG,214.0
AA0073TJUKOV,0.0
BA2438TFBHFH,52.0
BA2355HFHQEY,88.0
BA2386TFBZZK,94.0
BA2627TFBQEY,31.0
AA0686QEYPSE,143.0
AA0234TGPTKE,0.0
BA2633QEYTNG,86.0
AA3297EVUBOD,372.0
AA0064LUOTFB,43.0
BA2233ZWSTFB,81.0
BA2235HFHTFB,72.0
AA0605MBTTFB,120.0
AA0878PHHTFB,178.0
AA0385TGPQEY,26.0
BA2218CPJMXT,0.0
AA0112BODTFB,245.0
AA0691HFHTFB,90.0
AA0324TFBTKD,110.0
AA0630TFBQIY,111.0
AA0841PBLPHH,178.0
AA0090BODTFB,204.0
AA0529CVSTFB,104.0
BA2347NTPTFB,94.0
AA0471MBYTFB,132.0
AA0023PSETFB,203.0
AA0612TFBMBT,103.0
AA0835PBLIOM,173.0
BA2110TFBQTD,47.0
BA2311QEYCPJ,72.0
BA2435ZWSQEY,100.0
BA2478TUTQEY,0.0
BA2093QEYNGS,59.0
AA0712ZWSMBY,0.0
AA0244MBYNFY,134.0
AA0825TBOPHH,181.0
AA0517TOBTFB,66.0
AA3482TFBTCB,76.0
AA0061TFBKOV,172.0
AA0470TFBMBY,110.0
BA2043TFBQEY,46.0
AA0495TBOTFB,125.0
AA0054TDDBOD,0.0
AA0138BODPSE,133.0
AA0072KOVTFB,194.0
AA0854MJITFB,238.0
AA3294BODEVU,105.0
AA0012TFBCPT,202.0
AA0245NFYMBY,131.0
BA2061TFBQEY,55.0
BA2403TKDMBY,0.0
AA3296BODEVU,0.0
BA2208TFBZLN,8.0
AA3474TFBMHC,73.0
AA0051BODGBJ,125.0
AA0851TFBIOM,237.0
AA0223NFYMBY,131.0
AA0016TFBNJB,78.0
BA2500TGPQEY,44.0
BA2264TFBZWS,0.0
AA0562QEYMBY,107.0
AA0128GBJTFB,236.0
AA0192GBJBOD,0.0
BA2018QEYTFB,64.0
BA2396TFBNTP,75.0
AA0590QEYTOB,74.0
BA2115ZZDTFB,2.0
BA2526TNGQEY,18.0
AA0524TFBCVS,62.0
BA2670TFBZMX,110.0
BA2493CMJTFB,51.0
AA0742TFBBUM,160.0
BA2429ZMXTFB,35.0
AA0070BODKOV,0.0
BA2116TFBZZD,109.0
AA0870BODIOM,242.0
AA0505TOBTFB,89.0
AA0066KOVTFB,150.0
AA0055BODGBJ,0.0
AA0326TFBTKD,86.0
AA0388QEYTGP,27.0
AA0107TFBBOD,247.0
AA0136BODQEY,209.0
AA0754TFBTUM,128.0
AA0584QEYTOB,86.0
AA0256MBYNFY,134.0
AA0481TBOTFB,125.0
AA0580QEYTOB,86.0
BA2441TFBSOP,22.0
BA2215QVXTFB,75.0
AA0187BODGBJ,15.0
AA0558TFBQTQ,106.0
BA2636PBLQEY,55.0
BA2487CMJTFB,31.0
AA0227TKDTFB,86.0
AA0516TFBTOB,78.0
AA0503TOBTFB,113.0
AA0507TOBTFB,120.0
BA2207ZLNTFB,26.0
BA2288TFBGDB,19.0
BA2046QEYTFB,58.0
AA0574QEYTBO,94.0
BA2329QEYNGS,0.0
AA0485TBOTFB,92.0
BA2040FVHQEY,67.0
BA2543ZFHTFB,123.0
AA0634QEYQIY,81.0
AA0211NAUMBY,0.0
AA0809QEYPHH,218.0
BA2495HFHTFB,69.0
BA2479ZMXTFB,75.0
AA0059TFBKOV,126.0
AA0633QIYTFB,131.0
AA3464QEYPOU,35.0
AA0184GBJBOD,56.0
BA2203ZLNTFB,7.0
AA0302TFBTGP,97.0
AA0111TFBBOD,251.0
AA2702IOMCMJ,211.55
AA0828LPBPBL,171.0
AA0665EGXTFB,140.0
AA0862PHHQEY,227.0
AA0861QEYPHH,218.0
AA0003EDBTFB,124.0
AA0212MBYNAU,138.0
AA3490TFBGBU,15.0
BA2220TFBQVX,0.0
BA2069FBUTFB,41.0
AA0450TFBMBY,97.0
AA0011FXSTFB,210.0
AA0483TBOTFB,125.0
AA0181BODGBJ,0.0
AA0659QIYQEY,99.0
BA2385ZZKTFB,76.0
BA2517QEYTGP,47.0
AA0066DEWZBL,0.0
BA2478QEYTFB,51.0
AA0089TFBBOD,294.0
AA0400QEYTKD,104.0
AA0647MBTCMJ,105.0
AA0731JBITFB,139.0
AA0098BODTFB,197.0
AA0685EFOTFB,109.0
AA0564QEYMBY,83.0
BA2064TFBFBU,0.0
BA2490TFBCMJ,57.0
AA0020TFBPSE,169.0
AA0060LUOTFB,0.0
AA3472TFBMHC,73.0
BA2541QEYTNG,62.0
BA2219QVXTFB,38.0
AA0182GBJBOD,117.0
AA0663EGXTFB,88.0
AA0514TFBTOB,89.0
AA0846MJIPBL,164.0
AA0002TFBEDB,239.0
AA0563MBYQEY,84.0
AA0820TNGTFB,96.0
AA0837TKDIOM,172.0
AA0127TFBGBJ,238.0
BA2170QEYTFB,70.0
BA2214TFBQVX,62.0
BA2255TFBSOP,67.0
BA2387ZZKTFB,79.0
BA2105QTDTFB,40.0
AA0153PNFBOD,0.0
BA2249HFHTFB,72.0
AA0015CPTTFB,156.0
BA2635TFBQEY,67.0
BA2450QEYZWS,97.0
AA0137QEYBOD,296.0
BA2357HFHQEY,0.0
AA0065QTHKOV,68.0
BA2324HUGIMO,0.0
AA0313TGPTFB,119.0
AA0522TFBCVS,89.0
BA2130QEYTFB,95.0
AA0114BODTFB,228.0
BA2179TFBSEN,55.0
BA2506TFBHFH,84.0
AA0245MBYTFB,88.0
AA3462QEYPOU,75.0
BA2473TFBQEY,46.0
BA2236SENQEY,26.0
AA0859TFBIOM,237.0
AA0463MBYTFB,88.0
BA2430TFBZMX,121.0
BA2534GBUTFB,145.0
AA0582QEYTOB,86.0
AA0248MBYHEM,101.0
AA0024TFBCPT,135.0
BA2098NGSQEY,51.0
BA2331HFHTFB,90.0
AA0065LUOXSH,0.0
BA2056QEYTFB,16.0
AA0357PBLTFB,81.0
AA0619MBTTFB,111.0
AA0317TGPTFB,83.0
BA2399CPJTFB,27.0
AA0004TFBEDB,273.0
BA2181TFBQEY,64.0
BA2382TFBZZK,0.0
BA2107QTDTFB,38.0
BA2644QEYFVH,39.0
AA0401TKDQEY,74.0
AA0533POUTFB,115.0
BA2371HFHTFB,139.0
AA0082BODTFB,212.0
AA0129TFBGBJ,295.0
BA2118TFBZZD,110.0
AA0706ZWSMBY,0.0
AA0035CPTQEY,133.0
AA0362TFBTNG,118.0
AA0467MBYTFB,140.0
AA0650QEYQIY,84.0
BA2475TUTMBY,87.0
BA2267ZWSTFB,73.0
BA2614TGPQEY,0.0
AA0109TFBBOD,262.0
AA0637QIYTFB,127.0
BA2451ZWSQEY,98.0
BA2340TFBNTP,68.0
AA0315TGPTFB,83.0
BA2239CPJTFB,50.0
BA2278SENTFB,12.0
BA2083QEYSEN,44.0
AA0043BODCFU,0.0
AA0511TOBTFB,89.0
BA2109QTDTFB,66.0
AA0456TFBMBY,138.0
BA2298FVHTFB,44.0
AA0190GBJBOD,92.0
