Leg,Parent_Task,Assigned_Fleet,Load_Factor(%),Bottleneck_Freq(%),Shadow_Price,Revenue_Contribution,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
AA0139PSEBOD,AA0139,F0C0Y76,100.0,100.0,56.2,22780.1,45,27051.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0123TFBGBJ,AA0123,F16C0Y165,100.0,100.0,53.72,54201.0,128,63064.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0004TFBEDB,AA0004,F16C0Y165,100.0,100.0,51.88,55359.8,39,63920.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0135QEYBOD,AA0135,F0C0Y76,100.0,100.0,50.52,22601.63,33,26441.15,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0875TFBMJI,AA0875,F16C0Y165,100.0,100.0,49.0,42900.92,37,50985.92,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0820PHHTNG,super_AA0820,F0C0Y76,100.0,100.0,48.56,19059.9,36,22750.46,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0851TFBIOM,AA0851,F16C0Y165,100.0,100.0,47.4,42615.3,93,50436.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0871IOMBOD,AA0871,F16C0Y165,100.0,100.0,46.6,46180.0,11,53869.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0854MJITFB,AA0854,F16C0Y165,100.0,100.0,46.6,38880.7,52,46569.7,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0095TFBBOD,AA0095,F0C0Y76,100.0,100.0,46.24,14832.1,47,18346.34,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
