Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load(%),P5_Load(%),P95_Load(%),Bottleneck_Freq(%)
AA0685EFOTFB,AA0685,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0099TFBBOD,AA0099,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0084BODTFB,AA0084,F16C0Y165,165,91.6,55.52,48.97,60.85,0.0
AA0679EFOTFB,AA0679,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2068QEYTFB,BA2068,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0837TKDIOM,AA0837,F16C0Y165,165,163.4,99.03,96.12,100.0,80.0
AA0151PNFBOD,super_AA0151,F12C12Y48,48,19.0,39.58,27.08,49.17,0.0
AA0838IOMTKD,AA0838,F16C0Y165,165,164.4,99.64,98.55,100.0,80.0
AA0055CSXBOD,super_AA0055,F12C12Y48,48,43.4,90.42,82.5,98.75,20.0
AA0183BODGBJ,AA0183,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2159FBUTFB,BA2159,F0C0Y76,76,70.4,92.63,78.42,100.0,40.0
BA2584TFBZFH,BA2584,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2500TGPQEY,BA2500,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2429ZMXTFB,BA2429,F0C0Y76,76,74.0,97.37,91.05,100.0,60.0
BA2624QEYTFB,BA2624,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0743BUMTFB,AA0743,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2043TFBQEY,BA2043,F16C0Y165,165,99.4,60.24,46.91,70.06,0.0
BA2216TFBQVX,BA2216,F12C12Y48,48,27.6,57.5,52.5,63.75,0.0
BA2387ZZKTFB,BA2387,F0C0Y76,76,26.6,35.0,27.63,40.79,0.0
AA0385TGPQEY,AA0385,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0026TFBPSE,AA0026,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2231CPJTFB,BA2231,F0C0Y76,76,61.4,80.79,75.0,90.53,0.0
BA2632TNGQEY,BA2632,F0C0Y76,76,56.4,74.21,60.0,85.79,0.0
AA0453MBYTFB,AA0453,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0580QEYTOB,AA0580,F16C0Y165,165,164.4,99.64,98.55,100.0,80.0
AA0518TFBTOB,AA0518,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0070BODKOV,super_AA0070,F0C0Y76,76,70.0,92.11,83.42,100.0,40.0
BA2579ZFHTFB,BA2579,F0C0Y76,76,48.4,63.68,54.47,73.42,0.0
