Product,Historical_Demand,MC_Mean_Demand,Expected_Sold,Std_Sold,P5_Sold,P95_Sold,Expected_Unmet,Fare,Legs,Tasks,Assigned_Fleets
P000000,2.29,2.6,2.6,1.62,1.0,4.8,0.0,230.0,AA0040BERBOD,AA0040,F12C12Y48
P000001,2.07,2.2,2.2,0.4,2.0,2.8,0.0,100.0,AA0040BERBOD,AA0040,F12C12Y48
P000002,0.66,0.2,0.2,0.4,0.0,0.8,0.0,105.0,AA0040BERBOD,AA0040,F12C12Y48
P000004,13.12,14.0,14.0,3.35,10.4,18.8,0.0,145.0,AA0040BERBOD,AA0040,F12C12Y48
P000005,3.67,3.8,3.8,0.98,2.4,4.8,0.0,209.0,AA0040BERBOD,AA0040,F12C12Y48
P000006,3.21,3.4,3.4,3.44,0.0,7.8,0.0,79.0,AA0040BERBOD,AA0040,F12C12Y48
P000008,0.33,0.0,0.0,0.0,0.0,0.0,0.0,98.0,AA0040BERBOD,AA0040,F12C12Y48
P000009,3.37,2.4,2.4,1.62,0.2,4.0,0.0,127.0,AA0040BERBOD,AA0040,F12C12Y48
P000010,6.3,8.0,8.0,1.55,7.0,10.4,0.0,184.0,AA0040BERBOD,AA0040,F12C12Y48
P000011,1.69,1.0,1.0,1.1,0.0,2.6,0.0,230.0,AA0048BERBOD,AA0048,F12C12Y48
P000013,0.66,0.6,0.6,0.49,0.0,1.0,0.0,105.0,AA0048BERBOD,AA0048,F12C12Y48
P000015,14.47,11.0,11.0,3.35,6.6,15.2,0.0,145.0,AA0048BERBOD,AA0048,F12C12Y48
P000016,11.1,11.4,11.4,3.2,6.8,14.8,0.0,209.0,AA0048BERBOD,AA0048,F12C12Y48
P000017,1.0,0.8,0.8,1.17,0.0,2.6,0.0,79.0,AA0048BERBOD,AA0048,F12C12Y48
P000019,0.33,0.2,0.2,0.4,0.0,0.8,0.0,98.0,AA0048BERBOD,AA0048,F12C12Y48
P000020,0.66,0.2,0.2,0.4,0.0,0.8,0.0,127.0,AA0048BERBOD,AA0048,F12C12Y48
P000021,4.3,4.6,4.6,1.85,1.8,6.0,0.0,184.0,AA0048BERBOD,AA0048,F12C12Y48
P000024,0.33,0.8,0.8,0.4,0.2,1.0,0.0,512.0,AA0040BERBOD -> AA0104BODTFB,AA0040 -> AA0104,F12C12Y48 -> F0C0Y76
P000030,0.66,0.8,0.8,0.75,0.0,1.8,0.0,301.0,AA0040BERBOD -> AA0104BODTFB,AA0040 -> AA0104,F12C12Y48 -> F0C0Y76
P000039,0.67,1.0,1.0,0.0,1.0,1.0,0.0,40.0,AA0040BERBOD -> AA0106BODTFB,AA0040 -> AA0106,F12C12Y48 -> F16C0Y165
P000048,2.33,2.2,2.2,1.17,1.0,3.8,0.0,341.0,AA0048BERBOD -> AA0080BODTFB,AA0048 -> AA0080,F12C12Y48 -> F0C0Y76
P000052,0.33,0.2,0.2,0.4,0.0,0.8,0.0,301.0,AA0048BERBOD -> AA0080BODTFB,AA0048 -> AA0080,F12C12Y48 -> F0C0Y76
P000059,1.66,2.8,2.8,1.6,1.0,4.8,0.0,341.0,AA0048BERBOD -> AA0084BODTFB,AA0048 -> AA0084,F12C12Y48 -> F16C0Y165
P000068,0.5,0.0,0.0,0.0,0.0,0.0,0.0,512.0,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F12C12Y48 -> F0C0Y76
P000070,1.96,1.8,1.8,1.17,1.0,3.6,0.0,341.0,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F12C12Y48 -> F0C0Y76
P000076,1.0,0.8,0.8,0.4,0.2,1.0,0.0,349.0,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F12C12Y48 -> F0C0Y76
P000077,4.66,4.4,4.4,1.5,3.0,6.6,0.0,240.0,AA0047BODBER,AA0047,F12C12Y48
P000079,0.33,0.0,0.0,0.0,0.0,0.0,0.0,89.0,AA0047BODBER,AA0047,F12C12Y48
P000080,0.67,0.4,0.4,0.49,0.0,1.0,0.0,104.0,AA0047BODBER,AA0047,F12C12Y48
P000081,10.98,10.0,10.0,2.68,6.6,13.0,0.0,134.0,AA0047BODBER,AA0047,F12C12Y48
P000082,2.33,3.6,3.6,0.49,3.0,4.0,0.0,213.0,AA0047BODBER,AA0047,F12C12Y48
P000083,4.29,2.6,2.6,1.36,1.2,4.6,0.0,67.0,AA0047BODBER,AA0047,F12C12Y48
P000085,1.0,1.2,1.2,0.98,0.2,2.6,0.0,97.0,AA0047BODBER,AA0047,F12C12Y48
P000086,1.0,0.6,0.6,0.8,0.0,1.8,0.0,129.0,AA0047BODBER,AA0047,F12C12Y48
P000087,16.01,20.0,20.0,4.15,15.2,25.4,0.0,190.0,AA0047BODBER,AA0047,F12C12Y48
P000088,1.72,1.2,1.2,0.4,1.0,1.8,0.0,240.0,AA0049BODBER,AA0049,F12C12Y48
P000089,0.04,0.2,0.2,0.4,0.0,0.8,0.0,94.0,AA0049BODBER,AA0049,F12C12Y48
P000090,0.36,0.2,0.2,0.4,0.0,0.8,0.0,89.0,AA0049BODBER,AA0049,F12C12Y48
P000091,0.34,0.2,0.2,0.4,0.0,0.8,0.0,104.0,AA0049BODBER,AA0049,F12C12Y48
P000092,12.14,10.4,10.4,2.42,6.8,12.8,0.0,134.0,AA0049BODBER,AA0049,F12C12Y48
P000093,3.06,4.4,4.4,1.5,3.0,6.6,0.0,213.0,AA0049BODBER,AA0049,F12C12Y48
P000094,2.96,2.6,2.4,1.02,1.2,3.8,0.2,67.0,AA0049BODBER,AA0049,F12C12Y48
P000096,0.37,0.6,0.6,0.8,0.0,1.8,0.0,97.0,AA0049BODBER,AA0049,F12C12Y48
P000097,1.17,0.6,0.6,0.8,0.0,1.8,0.0,129.0,AA0049BODBER,AA0049,F12C12Y48
P000098,9.83,11.0,11.0,2.28,7.8,13.6,0.0,190.0,AA0049BODBER,AA0049,F12C12Y48
P000103,0.66,0.6,0.6,0.8,0.0,1.8,0.0,331.0,AA0112BODTFB -> AA0742TFBBUM,AA0112 -> AA0742,F0C0Y76 -> F16C0Y165
P000113,0.79,0.4,0.4,0.49,0.0,1.0,0.0,354.0,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000114,1.3,1.4,1.4,0.8,0.2,2.0,0.0,331.0,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000119,0.33,0.2,0.2,0.4,0.0,0.8,0.0,362.0,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000120,0.33,0.2,0.2,0.4,0.0,0.8,0.0,290.0,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000124,0.34,0.0,0.0,0.0,0.0,0.0,0.0,273.0,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000129,0.12,0.2,0.2,0.4,0.0,0.8,0.0,232.0,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000131,0.32,0.0,0.0,0.0,0.0,0.0,0.0,323.0,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000132,4.35,3.8,3.8,0.98,3.0,5.0,0.0,188.0,AA0041BODCFU,AA0041,F0C0Y76
P000133,0.33,0.6,0.6,0.49,0.0,1.0,0.0,134.0,AA0041BODCFU,AA0041,F0C0Y76
