Leg,Task,Origin,Destination,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Total_Passengers,Expected_Load(%),Load_Factor(%),Bottleneck_Freq(%),Expected_Shadow_Price,Shadow_Price,Attributed_Revenue,Revenue_Contribution,Revenue_Per_Pax,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
AA2701BODMBT,AA2701,BOD,MBT,AA2701,F16C0Y165,165,146.0,146.0,88.48,88.48,0.0,0.0,0.0,70585.03,70585.03,483.46,9,70585.03,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0004TFBEDB,AA0004,TFB,EDB,AA0004,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,51.88,51.88,55359.8,55359.8,335.51,39,63920.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0123TFBGBJ,AA0123,TFB,GBJ,AA0123,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,53.72,53.72,54201.0,54201.0,328.49,128,63064.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA2702IOMCMJ,AA2702,IOM,CMJ,AA2702,F16C0Y165,165,146.6,146.6,88.85,88.85,0.0,0.0,0.0,61619.7,61619.7,420.33,9,61619.7,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0871IOMBOD,AA0871,IOM,BOD,AA0871,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,46.6,46.6,46180.0,46180.0,279.88,11,53869.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0875TFBMJI,AA0875,TFB,MJI,AA0875,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,49.0,49.0,42900.92,42900.92,260.01,37,50985.92,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0862PHHQEY,AA0862,PHH,QEY,AA0862,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,45.4,45.4,43427.77,43427.77,263.2,64,50918.77,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0001EDBTFB,AA0001,EDB,TFB,AA0001,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,42.6,42.6,43422.63,43422.63,263.17,53,50451.63,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0851TFBIOM,AA0851,TFB,IOM,AA0851,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,47.4,47.4,42615.3,42615.3,258.27,93,50436.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0129TFBGBJ,AA0129,TFB,GBJ,AA0129,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,37.76,37.76,43255.43,43255.43,262.15,140,49485.83,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0002TFBEDB,AA0002,TFB,EDB,AA0002,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,42.56,42.56,42297.9,42297.9,256.35,49,49320.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0012TFBCPT,AA0012,TFB,CPT,AA0012,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,37.96,37.96,42534.0,42534.0,257.78,26,48797.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0852IOMTFB,AA0852,IOM,TFB,AA0852,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,43.96,43.96,40982.0,40982.0,248.38,40,48235.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0083TFBBOD,AA0083,TFB,BOD,AA0083,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,43.0,43.0,41059.8,41059.8,248.85,98,48154.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
