Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P047172,54.6,56.85,54.6,0.0,484.4,26448.23,AA2701BODMBT,AA2701,F16C0Y165,AA2701BODMBT,0.0
P016909,71.2,67.45,71.2,0.0,352.0,25062.4,AA0123TFBGBJ,AA0123,F16C0Y165,AA0123TFBGBJ,53.72
P033334,147.8,132.63,113.6,34.2,214.0,24310.4,AA0878PHHTFB,AA0878,F16C0Y165,AA0878PHHTFB,34.24
P022146,99.2,90.22,99.2,0.0,242.0,24006.4,AA0870BODIOM,AA0870,F16C0Y165,AA0870BODIOM,32.48
P031287,148.0,136.97,127.2,20.8,181.0,23023.2,AA0894LPBTKD,AA0894,F16C0Y165,AA0894LPBTKD,28.96
P035611,94.2,88.15,94.2,0.0,228.0,21477.6,AA0809QEYPHH,AA0809,F16C0Y165,AA0809QEYPHH,41.52
P039802,150.8,155.24,90.6,60.2,237.0,21472.2,AA0851TFBIOM,AA0851,F16C0Y165,AA0851TFBIOM,47.4
P041374,155.8,132.21,123.4,32.4,172.0,21224.8,AA0837TKDIOM,AA0837,F16C0Y165,AA0837TKDIOM,24.76
P031155,140.2,131.36,119.2,21.0,178.0,21217.6,AA0838IOMTKD,AA0838,F16C0Y165,AA0838IOMTKD,28.48
P033036,140.0,130.96,124.2,15.8,169.0,20989.8,AA0879PBLMJI,AA0879,F16C0Y165,AA0879PBLMJI,20.28
P031067,160.6,156.19,113.8,46.8,181.0,20597.8,AA0836IOMPBL,AA0836,F16C0Y165,AA0836IOMPBL,28.96
P041385,116.6,109.18,116.6,0.0,175.0,20405.0,AA0893TKDLPB,AA0893,F16C0Y165,AA0893TKDLPB,5.0
P039009,116.6,112.5,112.0,4.6,181.0,20272.0,AA0825TBOPHH,AA0825,F16C0Y165,AA0825TBOPHH,28.68
