Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
AA0685EFOTFB,19.96,2.2033,16.84,22.36
AA0099TFBBOD,37.88,2.96,36.4,42.32
AA0084BODTFB,0.0,0.0,0.0,0.0
AA0679EFOTFB,19.04,3.7232,16.0,23.6
BA2068QEYTFB,9.32,2.4087,6.64,12.76
AA0837TKDIOM,24.76,13.4845,4.12,34.4
AA0151PNFBOD,0.0,0.0,0.0,0.0
AA0838IOMTKD,28.48,14.24,7.12,35.6
AA0055CSXBOD,7.04,14.08,0.0,28.16
AA0183BODGBJ,16.64,3.9322,10.64,18.8
BA2159FBUTFB,3.4,4.1761,0.0,8.8
BA2584TFBZFH,27.44,0.72,26.6,28.28
BA2500TGPQEY,16.2,0.0,16.2,16.2
BA2429ZMXTFB,8.88,8.6066,0.0,20.88
BA2624QEYTFB,2.52,2.0498,0.48,5.0
AA0743BUMTFB,32.4,0.0,32.4,32.4
BA2043TFBQEY,0.0,0.0,0.0,0.0
BA2216TFBQVX,0.0,0.0,0.0,0.0
BA2387ZZKTFB,0.0,0.0,0.0,0.0
AA0385TGPQEY,16.2,0.0,16.2,16.2
AA0026TFBPSE,27.0,2.901,24.0,31.04
BA2231CPJTFB,0.0,0.0,0.0,0.0
BA2632TNGQEY,0.0,0.0,0.0,0.0
AA0453MBYTFB,13.64,5.385,5.48,17.6
AA0580QEYTOB,10.32,8.4262,0.0,17.2
AA0518TFBTOB,17.8,0.0,17.8,17.8
AA0070BODKOV,4.04,8.08,0.0,16.16
BA2579ZFHTFB,0.0,0.0,0.0,0.0
BA2412TNGCPJ,0.0,0.0,0.0,0.0
AA0647MBTCMJ,21.0,0.0,21.0,21.0
AA0467MBYTFB,15.36,2.0215,12.44,17.44
AA0584QEYTOB,17.2,0.0,17.2,17.2
AA0893TKDLPB,5.0,10.0,0.0,20.0
AA0615MBTTFB,20.96,1.4881,19.32,23.08
AA0083TFBBOD,43.0,1.6,40.6,43.8
BA2467TUTMBY,15.4,0.0,15.4,15.4
AA0579TBOQEY,11.0,8.9862,0.0,18.6
BA2430TFBZMX,23.48,0.8908,22.28,24.2
AA0022TFBPSE,25.04,2.8324,20.84,27.2
AA0188GBJBOD,0.0,0.0,0.0,0.0
AA0892IOMTBO,40.6,0.0,40.6,40.6
AA0225TGPQEY,1.52,2.1189,0.0,4.76
AA3460QEYPOU,8.88,7.5138,0.0,16.6
AA0607MBTTFB,24.56,1.12,24.0,26.24
AA0704ZWSMBY,0.0,0.0,0.0,0.0
BA2140TFBCPJ,3.24,6.48,0.0,12.96
AA0569MBYQEY,20.64,1.52,18.36,21.4
AA3453CVSQEY,25.0,0.0,25.0,25.0
BA2354QEYHFH,11.2,0.0,11.2,11.2
BA2296FVHTFB,1.0,2.0,0.0,4.0
AA0047BODBER,0.0,0.0,0.0,0.0
AA0707MBYZWS,23.2,0.0,23.2,23.2
BA2019QEYSEN,0.0,0.0,0.0,0.0
AA0498TFBTBO,14.88,7.44,3.72,18.6
AA0404QEYTKD,10.24,8.3622,0.0,17.2
AA0211NAUMBY,4.28,8.56,0.0,17.12
AA0135QEYBOD,50.52,1.04,50.0,52.08
BA2026QEYTFB,0.0,0.0,0.0,0.0
AA0485TBOTFB,25.0,0.0,25.0,25.0
BA2045TFBQEY,5.6,4.8,0.0,11.2
BA2382TFBZZK,0.0,0.0,0.0,0.0
AA0120BODTFB,29.32,0.96,28.64,30.8
BA2136TFBCPJ,0.0,0.0,0.0,0.0
AA0042CFUBOD,0.0,0.0,0.0,0.0
BA2207ZLNTFB,1.92,3.84,0.0,7.68
AA0494TFBTBO,18.6,0.0,18.6,18.6
BA2329QEYNGS,8.76,7.3151,0.0,16.6
BA2385ZZKTFB,0.0,0.0,0.0,0.0
AA0450TFBMBY,17.56,0.48,16.84,17.8
BA2369HFHTFB,14.96,0.933,14.4,16.4
BA2403TKDMBY,3.84,4.703,0.0,9.6
AA0476TFBMBY,0.0,0.0,0.0,0.0
AA0067TJUKOV,0.0,0.0,0.0,0.0
BA2404MBYTKD,10.92,1.3717,9.8,12.6
AA0731JBITFB,24.2,0.0,24.2,24.2
AA0664TFBEGX,14.6,12.1075,0.0,27.04
AA0629MBTQEY,14.84,2.0953,13.0,17.4
AA0122GBJTFB,0.0,0.0,0.0,0.0
AA0065LUOXSH,0.0,0.0,0.0,0.0
BA2332TFBHFH,0.0,0.0,0.0,0.0
AA0251TKEMBY,29.6,0.0,29.6,29.6
BA2389ZZKTFB,0.0,0.0,0.0,0.0
AA0657QIYQEY,22.0,5.7355,13.12,25.8
