Task,Origin,Destination,Leg_Count,Legs,Assigned_Fleet,Seat_Capacity_Per_Leg,Seat_Capacity,Task_Capacity,Total_Fly_Minutes,Fly_Minutes,Passenger_Boardings,Expected_Passengers,Total_Sold,Total_Unmet,Expected_Load(%),Load_Factor(%),Attributed_Revenue,Revenue,Operating_Cost,Cost,Attributed_Profit,Profit,Avg_Shadow_Price,Max_Shadow_Price,Shadow_Price_Summary,Product_Count,Is_Overnight_Task,Is_Super_Flight,Recommendation_Tag,Recommendation_Reason
AA0001,EDB,TFB,1,AA0001EDBTFB,F16C0Y165,165,165,165,343,343,165.0,165.0,158.27,53.5,100.0,100.0,43603.13,43603.13,26308.1,26308.1,17295.03,17295.03,42.6,42.6,avg=42.60; max=42.60; positive_legs=1,53,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0002,TFB,EDB,1,AA0002TFBEDB,F16C0Y165,165,165,165,294,294,165.0,165.0,148.5,50.0,100.0,100.0,42558.8,42558.8,22549.8,22549.8,20009.0,20009.0,42.56,42.56,avg=42.56; max=42.56; positive_legs=1,49,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0003,EDB,TFB,1,AA0003EDBTFB,F16C0Y165,165,165,165,345,345,156.8,156.8,142.1,2.7,95.03,95.03,36165.9,36165.9,26461.5,26461.5,9704.4,9704.4,4.96,4.96,avg=4.96; max=4.96; positive_legs=1,49,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0004,TFB,EDB,1,AA0004TFBEDB,F16C0Y165,165,165,165,300,300,165.0,165.0,160.4,80.3,100.0,100.0,55359.8,55359.8,23010.0,23010.0,32349.8,32349.8,51.88,51.88,avg=51.88; max=51.88; positive_legs=1,39,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0005,EDB,MBY,1,AA0005EDBMBY,F16C0Y165,165,165,165,352,352,165.0,165.0,150.4,28.73,100.0,100.0,29456.47,29456.47,26998.4,26998.4,2458.07,2458.07,25.44,25.44,avg=25.44; max=25.44; positive_legs=1,52,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0006,MBY,EDB,1,AA0006MBYEDB,F16C0Y165,165,165,165,294,294,165.0,165.0,158.23,22.4,100.0,100.0,33981.63,33981.63,22549.8,22549.8,11431.83,11431.83,23.92,23.92,avg=23.92; max=23.92; positive_legs=1,49,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0007,FXS,TFB,1,AA0007FXSTFB,F0C0Y76,76,76,76,370,370,76.0,76.0,67.5,85.9,100.0,100.0,15892.5,15892.5,14738.33,14738.33,1154.17,1154.17,39.36,39.36,avg=39.36; max=39.36; positive_legs=1,30,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0008,TFB,FXS,1,AA0008TFBFXS,F16C0Y165,165,165,165,313,313,165.0,165.0,159.5,77.1,100.0,100.0,35990.4,35990.4,24007.1,24007.1,11983.3,11983.3,32.0,32.0,avg=32.00; max=32.00; positive_legs=1,39,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0011,FXS,TFB,1,AA0011FXSTFB,F16C0Y165,165,165,165,357,357,163.8,163.8,146.93,11.43,99.27,99.27,30954.07,30954.07,27381.9,27381.9,3572.17,3572.17,17.04,17.04,avg=17.04; max=17.04; positive_legs=1,65,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0012,TFB,CPT,1,AA0012TFBCPT,F16C0Y165,165,165,165,325,325,165.0,165.0,164.0,74.3,100.0,100.0,42534.0,42534.0,24927.5,24927.5,17606.5,17606.5,37.96,37.96,avg=37.96; max=37.96; positive_legs=1,26,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
