Leg,Parent_Task,Assigned_Fleet,Load_Factor(%),Bottleneck_Freq(%),Shadow_Price,Revenue_Contribution,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
AA0139PSEBOD,AA0139,F0C0Y76,100.0,100.0,13.9625,22763.78,45,23824.93,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0123TFBGBJ,AA0123,F16C0Y165,100.0,100.0,13.5775,54475.6,128,56715.89,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0004TFBEDB,AA0004,F16C0Y165,100.0,100.0,13.095,55498.55,39,57659.23,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0135QEYBOD,AA0135,F0C0Y76,100.0,100.0,12.37,22627.88,33,23568.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0875TFBMJI,AA0875,F16C0Y165,100.0,100.0,12.19,42184.66,37,44196.01,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0851TFBIOM,AA0851,F16C0Y165,100.0,100.0,11.85,42616.03,93,44571.28,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0871IOMBOD,AA0871,F16C0Y165,100.0,100.0,11.65,45814.4,11,47736.65,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0854MJITFB,AA0854,F16C0Y165,100.0,100.0,11.5525,38683.91,52,40590.07,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0862PHHQEY,AA0862,F16C0Y165,100.0,100.0,11.35,43730.12,64,45602.87,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0858PHHTFB,AA0858,F16C0Y165,100.0,100.0,11.1725,37983.64,79,39827.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0081TFBBOD,AA0081,F0C0Y76,100.0,100.0,11.14,21861.55,20,22708.19,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0087TFBBOD,AA0087,F16C0Y165,100.0,100.0,10.995,39968.5,256,41782.68,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0001EDBTFB,AA0001,F16C0Y165,100.0,100.0,10.97,44275.45,53,46085.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0083TFBBOD,AA0083,F16C0Y165,100.0,100.0,10.8925,40872.27,98,42669.54,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0852IOMTFB,AA0852,F16C0Y165,100.0,100.0,10.715,40655.0,40,42422.98,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0109TFBBOD,AA0109,F0C0Y76,100.0,100.0,10.705,16736.48,156,17550.06,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0002TFBEDB,AA0002,F16C0Y165,100.0,100.0,10.5775,42250.6,49,43995.89,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0117TFBBOD,AA0117,F0C0Y76,99.67,95.0,10.4525,16542.65,12,17337.04,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0809QEYPHH,AA0809,F16C0Y165,100.0,100.0,10.395,34308.62,40,36023.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0095TFBBOD,AA0095,F0C0Y76,100.0,100.0,10.31,15221.78,47,16005.34,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0861QEYPHH,AA0861,F16C0Y165,100.0,100.0,10.2,34240.82,57,35923.82,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0107TFBBOD,AA0107,F0C0Y76,100.0,100.0,10.1675,15262.62,112,16035.35,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0125TFBGBJ,AA0125,F0C0Y76,100.0,100.0,9.695,20256.32,86,20993.14,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0143QEYBOD,AA0143,F0C0Y76,100.0,100.0,9.68,16659.3,111,17394.98,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0007FXSTFB,AA0007,F0C0Y76,100.0,100.0,9.645,16136.07,30,16869.09,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0127TFBGBJ,AA0127,F0C0Y76,100.0,100.0,9.605,16845.08,26,17575.06,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0012TFBCPT,AA0012,F16C0Y165,100.0,100.0,9.57,42617.73,26,44196.78,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0061TFBKOV,super_AA0061,F12C12Y48,99.27,95.0,9.5125,11009.59,42,11466.19,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0810LPBTFB,AA0810,F16C0Y165,100.0,100.0,9.34,41600.48,37,43141.58,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0129TFBGBJ,AA0129,F16C0Y165,100.0,100.0,9.3375,43101.82,140,44642.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0079TFBKOV,AA0079,F0C0Y76,100.0,100.0,9.265,16235.41,73,16939.55,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0859TFBIOM,AA0859,F16C0Y165,100.0,100.0,9.245,34743.37,101,36268.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0892IOMTBO,AA0892,F16C0Y165,99.91,90.0,9.135,38202.7,10,39709.97,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0067TFBLUO,super_AA0067,F0C0Y76,100.0,100.0,9.11,15904.38,31,16596.74,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0891TBOIOM,AA0891,F16C0Y165,99.7,95.0,8.9775,36270.15,20,37751.44,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0099TFBBOD,AA0099,F16C0Y165,100.0,100.0,8.8275,39072.11,184,40528.65,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0097TFBBOD,AA0097,F16C0Y165,100.0,100.0,8.795,38614.35,295,40065.53,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0890PHHTBO,AA0890,F16C0Y165,100.0,100.0,8.78,37221.5,10,38670.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0848MJITKD,AA0848,F0C0Y76,100.0,100.0,8.75,14375.5,6,15040.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0683PSEQEY,AA0683,F0C0Y76,100.0,100.0,8.675,14348.8,31,15008.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0043BODCFU,AA0043,F0C0Y76,100.0,100.0,8.6025,16732.25,21,17386.04,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0830IOMQEY,AA0830,F16C0Y165,100.0,100.0,8.505,36511.7,55,37915.02,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0838IOMTKD,AA0838,F16C0Y165,99.91,95.0,8.455,32257.95,7,33653.03,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0017NJBTFB,AA0017,F16C0Y165,100.0,100.0,8.4525,38678.32,38,40072.99,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0865TKDMJI,AA0865,F0C0Y76,99.14,95.0,8.4075,13506.6,9,14145.57,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0020TFBPSE,AA0020,F16C0Y165,100.0,100.0,8.375,32496.0,70,33877.88,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0023PSETFB,AA0023,F16C0Y165,100.0,100.0,8.355,32493.48,87,33872.05,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0151BODPUA,super_AA0151,F12C12Y48,99.69,95.0,8.355,12130.6,6,12531.64,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0894LPBTKD,AA0894,F16C0Y165,99.73,95.0,8.3075,31236.9,9,32607.64,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0878PHHTFB,AA0878,F16C0Y165,98.91,80.0,8.2375,36136.05,11,37495.24,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0062BODKOV,super_AA0062,F0C0Y76,100.0,100.0,8.205,15378.4,17,16001.98,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0018TFBNDP,AA0018,F16C0Y165,99.79,95.0,8.1525,38194.9,30,39540.06,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0836IOMPBL,AA0836,F16C0Y165,99.85,90.0,8.145,33137.75,10,34481.68,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0742TFBBUM,AA0742,F16C0Y165,100.0,100.0,8.09,33308.6,22,34643.45,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0089TFBBOD,AA0089,F16C0Y165,100.0,100.0,8.015,38808.99,210,40131.47,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0121TFBBOD,AA0121,F0C0Y76,100.0,100.0,8.01,14159.18,91,14767.94,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0008TFBFXS,AA0008,F16C0Y165,100.0,100.0,8.0,36115.25,39,37435.25,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0021PSETFB,AA0021,F16C0Y165,100.0,100.0,7.89,30125.08,73,31426.92,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0035CPTQEY,AA0035,F0C0Y76,100.0,100.0,7.8375,15226.22,21,15821.87,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0259QWSMBY,AA0259,F16C0Y165,100.0,100.0,7.8,31755.48,50,33042.48,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0030QEYCPT,AA0030,F16C0Y165,100.0,100.0,7.715,34740.82,21,36013.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
