Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load(%),P5_Load(%),P95_Load(%),Bottleneck_Freq(%)
BA2295TFBFVH,BA2295,F0C0Y76,76,42.3,55.66,47.24,63.75,0.0
BA2574PBLQEY,BA2574,F0C0Y76,76,39.55,52.04,34.14,66.25,0.0
AA0576QEYTBO,AA0576,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2441TFBSOP,BA2441,F0C0Y76,76,65.9,86.71,71.71,100.0,20.0
BA2270TFBHFH,BA2270,F0C0Y76,76,65.65,86.38,78.36,100.0,10.0
BA2526TNGQEY,BA2526,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2087BMXTFB,BA2087,F0C0Y76,76,73.2,96.32,84.08,100.0,60.0
AA0342TFBPBL,AA0342,F16C0Y165,165,134.25,81.36,69.45,94.61,0.0
BA2079BMXTFB,BA2079,F12C12Y48,48,43.8,91.25,70.83,100.0,40.0
BA2213QVXTFB,BA2213,F12C12Y48,48,35.65,74.27,66.15,87.6,0.0
AA0007FXSTFB,AA0007,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2100TFBQTD,BA2100,F0C0Y76,76,74.7,98.29,93.29,100.0,65.0
AA0742TFBBUM,AA0742,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0891TBOIOM,AA0891,F16C0Y165,165,164.5,99.7,99.7,100.0,95.0
BA2130QEYTFB,BA2130,F0C0Y76,76,47.65,62.7,41.91,74.08,0.0
AA0498TFBTBO,AA0498,F16C0Y165,165,104.65,63.42,54.7,72.82,0.0
BA2479ZMXTFB,BA2479,F0C0Y76,76,47.7,62.76,55.0,75.2,0.0
BA2485CMJTFB,BA2485,F16C0Y165,165,137.7,83.45,70.64,98.27,5.0
AA0893TKDLPB,AA0893,F16C0Y165,165,136.05,82.45,63.61,100.0,15.0
AA0615MBTTFB,AA0615,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0711MBYZWS,AA0711,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2356QEYHFH,BA2356,F0C0Y76,76,58.35,76.78,67.11,87.5,5.0
BA2064TFBFBU,BA2064,F0C0Y76,76,75.75,99.67,99.67,100.0,95.0
AA0315TGPTFB,AA0315,F16C0Y165,165,164.0,99.39,96.24,100.0,85.0
AA0211NAUMBY,AA0211,F16C0Y165,165,152.75,92.58,82.27,100.0,35.0
AA0233TKETBO,super_AA0233,F16C0Y165,165,141.75,85.91,72.7,96.55,5.0
AA0626QEYMBT,AA0626,F16C0Y165,165,162.3,98.36,93.42,100.0,75.0
AA0657QIYQEY,AA0657,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2332TFBHFH,BA2332,F0C0Y76,76,46.6,61.32,51.18,71.18,0.0
BA2700NGSMBY,BA2700,F16C0Y165,165,152.45,92.39,80.52,100.0,15.0
AA0678TFBEFO,AA0678,F16C0Y165,165,126.2,76.48,67.03,82.42,0.0
AA0467MBYTFB,AA0467,F16C0Y165,165,164.35,99.61,99.61,100.0,95.0
BA2571QEYPBL,BA2571,F0C0Y76,76,74.95,98.62,93.88,100.0,90.0
BA2629TFBQEY,BA2629,F0C0Y76,76,53.45,70.33,55.13,84.28,0.0
BA2491CMJTFB,BA2491,F12C12Y48,48,31.05,64.69,49.58,88.02,0.0
AA0225TKETGP,super_AA0225,F16C0Y165,165,159.65,96.76,85.33,100.0,60.0
BA2340TFBNTP,BA2340,F0C0Y72,72,59.05,82.01,63.89,100.0,10.0
AA0220TFBTGP,super_AA0220,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0153PUAPNF,super_AA0153,F12C12Y48,48,3.0,6.25,2.08,10.52,0.0
AA0259QWSMBY,AA0259,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2052QEYTFB,BA2052,F0C0Y76,76,38.5,50.66,34.14,57.96,0.0
BA2204TFBZWS,BA2204,F0C0Y72,72,67.95,94.38,84.03,100.0,35.0
BA2121TFBQEY,BA2121,F16C0Y165,165,70.55,42.76,33.76,52.15,0.0
BA2236SENQEY,BA2236,F0C0Y76,76,47.15,62.04,50.99,73.82,0.0
BA2631TFBQEY,BA2631,F16C0Y165,165,28.15,17.06,11.97,22.45,0.0
AA0082BODTFB,AA0082,F16C0Y165,165,81.95,49.67,42.42,58.82,0.0
AA0066KOVTFB,super_AA0066,F12C12Y48,48,32.1,66.88,56.15,81.35,0.0
