Leg,Task,Origin,Destination,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Total_Passengers,Expected_Load(%),Load_Factor(%),Bottleneck_Freq(%),Expected_Shadow_Price,Shadow_Price,Attributed_Revenue,Revenue_Contribution,Revenue_Per_Pax,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
AA2701BODMBT,AA2701,BOD,MBT,AA2701,F16C0Y165,165,148.3,148.3,89.88,89.88,15.0,1.0856,1.0856,72095.16,72095.16,486.14,9,72274.29,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA2702IOMCMJ,AA2702,IOM,CMJ,AA2702,F16C0Y165,165,146.0,146.0,88.48,88.48,15.0,1.7918,1.7918,61307.4,61307.4,419.91,9,61603.06,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0004TFBEDB,AA0004,TFB,EDB,AA0004,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,13.095,13.095,55498.55,55498.55,336.35,39,57659.23,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0123TFBGBJ,AA0123,TFB,GBJ,AA0123,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,13.5775,13.5775,54475.6,54475.6,330.16,128,56715.89,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0871IOMBOD,AA0871,IOM,BOD,AA0871,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,11.65,11.65,45814.4,45814.4,277.66,11,47736.65,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0001EDBTFB,AA0001,EDB,TFB,AA0001,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,10.97,10.97,44275.45,44275.45,268.34,53,46085.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0862PHHQEY,AA0862,PHH,QEY,AA0862,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,11.35,11.35,43730.12,43730.12,265.03,64,45602.87,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0129TFBGBJ,AA0129,TFB,GBJ,AA0129,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,9.3375,9.3375,43101.82,43101.82,261.22,140,44642.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0851TFBIOM,AA0851,TFB,IOM,AA0851,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,11.85,11.85,42616.03,42616.03,258.28,93,44571.28,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0012TFBCPT,AA0012,TFB,CPT,AA0012,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,9.57,9.57,42617.73,42617.73,258.29,26,44196.78,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0875TFBMJI,AA0875,TFB,MJI,AA0875,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,12.19,12.19,42184.66,42184.66,255.66,37,44196.01,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0002TFBEDB,AA0002,TFB,EDB,AA0002,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,10.5775,10.5775,42250.6,42250.6,256.06,49,43995.89,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0810LPBTFB,AA0810,LPB,TFB,AA0810,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,9.34,9.34,41600.48,41600.48,252.12,37,43141.58,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0083TFBBOD,AA0083,TFB,BOD,AA0083,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,10.8925,10.8925,40872.27,40872.27,247.71,98,42669.54,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0852IOMTFB,AA0852,IOM,TFB,AA0852,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,10.715,10.715,40655.0,40655.0,246.39,40,42422.98,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0087TFBBOD,AA0087,TFB,BOD,AA0087,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,10.995,10.995,39968.5,39968.5,242.23,256,41782.68,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0854MJITFB,AA0854,MJI,TFB,AA0854,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,11.5525,11.5525,38683.91,38683.91,234.45,52,40590.07,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0099TFBBOD,AA0099,TFB,BOD,AA0099,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,8.8275,8.8275,39072.11,39072.11,236.8,184,40528.65,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0870BODIOM,AA0870,BOD,IOM,AA0870,F16C0Y165,165,158.3,158.3,95.94,95.94,70.0,6.2775,6.2775,39282.22,39282.22,248.15,14,40318.01,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0089TFBBOD,AA0089,TFB,BOD,AA0089,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,8.015,8.015,38808.99,38808.99,235.21,210,40131.47,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0017NJBTFB,AA0017,NJB,TFB,AA0017,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,8.4525,8.4525,38678.32,38678.32,234.41,38,40072.99,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0097TFBBOD,AA0097,TFB,BOD,AA0097,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,8.795,8.795,38614.35,38614.35,234.03,295,40065.53,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0860IOMTFB,AA0860,IOM,TFB,AA0860,F16C0Y165,165,162.05,162.05,98.21,98.21,65.0,6.12,6.12,38953.35,38953.35,240.38,11,39963.15,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0858PHHTFB,AA0858,PHH,TFB,AA0858,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,11.1725,11.1725,37983.64,37983.64,230.2,79,39827.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0892IOMTBO,AA0892,IOM,TBO,AA0892,F16C0Y165,165,164.85,164.85,99.91,99.91,90.0,9.135,9.135,38202.7,38202.7,231.74,10,39709.97,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0018TFBNDP,AA0018,TFB,NDP,AA0018,F16C0Y165,165,164.65,164.65,99.79,99.79,95.0,8.1525,8.1525,38194.9,38194.9,231.98,30,39540.06,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0137QEYBOD,AA0137,QEY,BOD,AA0137,F16C0Y165,165,164.75,164.75,99.85,99.85,95.0,6.635,6.635,37848.99,37848.99,229.74,95,38943.77,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0890PHHTBO,AA0890,PHH,TBO,AA0890,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,8.78,8.78,37221.5,37221.5,225.58,10,38670.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0830IOMQEY,AA0830,IOM,QEY,AA0830,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,8.505,8.505,36511.7,36511.7,221.28,55,37915.02,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0891TBOIOM,AA0891,TBO,IOM,AA0891,F16C0Y165,165,164.5,164.5,99.7,99.7,95.0,8.9775,8.9775,36270.15,36270.15,220.49,20,37751.44,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0878PHHTFB,AA0878,PHH,TFB,AA0878,F16C0Y165,165,163.2,163.2,98.91,98.91,80.0,8.2375,8.2375,36136.05,36136.05,221.42,11,37495.24,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0008TFBFXS,AA0008,TFB,FXS,AA0008,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,8.0,8.0,36115.25,36115.25,218.88,39,37435.25,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0843TFBLPB,AA0843,TFB,LPB,AA0843,F16C0Y165,165,159.75,159.75,96.82,96.82,60.0,5.5125,5.5125,35470.89,35470.89,222.04,49,36380.45,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0859TFBIOM,AA0859,TFB,IOM,AA0859,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,9.245,9.245,34743.37,34743.37,210.57,101,36268.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0809QEYPHH,AA0809,QEY,PHH,AA0809,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,10.395,10.395,34308.62,34308.62,207.93,40,36023.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0030QEYCPT,AA0030,QEY,CPT,AA0030,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,7.715,7.715,34740.82,34740.82,210.55,21,36013.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0861QEYPHH,AA0861,QEY,PHH,AA0861,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,10.2,10.2,34240.82,34240.82,207.52,57,35923.82,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0093TFBBOD,AA0093,TFB,BOD,AA0093,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,6.7525,6.7525,34303.99,34303.99,207.9,197,35418.16,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0828LPBPBL,AA0828,LPB,PBL,AA0828,F16C0Y165,165,163.6,163.6,99.15,99.15,85.0,7.2675,7.2675,34201.25,34201.25,209.05,8,35400.39,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0006MBYEDB,AA0006,MBY,EDB,AA0006,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,6.8125,6.8125,33929.85,33929.85,205.64,49,35053.91,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0003EDBTFB,AA0003,EDB,TFB,AA0003,F16C0Y165,165,152.4,152.4,92.36,92.36,20.0,0.93,0.93,34719.83,34719.83,227.82,49,34873.28,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
