Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P047172,58.3,56.85,58.3,0.0,484.4,28240.51,AA2701BODMBT,AA2701,F16C0Y165,AA2701BODMBT,1.0856
P016909,71.35,67.45,71.35,0.0,352.0,25115.2,AA0123TFBGBJ,AA0123,F16C0Y165,AA0123TFBGBJ,13.5775
P033334,126.9,132.63,109.45,17.45,214.0,23422.3,AA0878PHHTFB,AA0878,F16C0Y165,AA0878PHHTFB,8.2375
P031287,142.6,136.97,126.25,16.35,181.0,22851.25,AA0894LPBTKD,AA0894,F16C0Y165,AA0894LPBTKD,8.3075
P022146,94.45,90.22,92.95,1.5,242.0,22493.9,AA0870BODIOM,AA0870,F16C0Y165,AA0870BODIOM,6.2775
P039802,155.35,155.24,93.25,62.1,237.0,22100.25,AA0851TFBIOM,AA0851,F16C0Y165,AA0851TFBIOM,11.85
P033036,132.4,130.96,124.45,7.95,169.0,21032.05,AA0879PBLMJI,AA0879,F16C0Y165,AA0879PBLMJI,4.99
P041374,143.7,132.21,122.15,21.55,172.0,21009.8,AA0837TKDIOM,AA0837,F16C0Y165,AA0837TKDIOM,5.8325
P035611,91.75,88.15,91.75,0.0,228.0,20919.0,AA0809QEYPHH,AA0809,F16C0Y165,AA0809QEYPHH,10.395
P047183,51.35,56.85,51.35,0.0,402.14,20649.71,AA2702IOMCMJ,AA2702,F16C0Y165,AA2702IOMCMJ,1.7918
P031067,165.4,156.19,114.0,51.4,181.0,20634.0,AA0836IOMPBL,AA0836,F16C0Y165,AA0836IOMPBL,8.145
P039009,118.55,112.5,109.45,9.1,181.0,19810.45,AA0825TBOPHH,AA0825,F16C0Y165,AA0825TBOPHH,7.0525
P031155,141.2,131.36,110.6,30.6,178.0,19686.8,AA0838IOMTKD,AA0838,F16C0Y165,AA0838IOMTKD,8.455
P016566,50.25,48.68,50.25,0.0,390.0,19597.5,AA0004TFBEDB,AA0004,F16C0Y165,AA0004TFBEDB,13.095
P033014,135.15,127.86,108.55,26.6,173.0,18779.15,AA0835PBLIOM,AA0835,F16C0Y165,AA0835PBLIOM,6.9
P035622,80.6,76.09,80.6,0.0,228.0,18376.8,AA0861QEYPHH,AA0861,F16C0Y165,AA0861QEYPHH,10.2
P033047,112.55,117.28,102.95,9.6,178.0,18325.1,AA0841PBLPHH,AA0841,F16C0Y165,AA0841PBLPHH,5.62
P041385,104.55,109.18,103.85,0.7,175.0,18173.75,AA0893TKDLPB,AA0893,F16C0Y165,AA0893TKDLPB,1.1875
P010308,125.3,123.05,124.1,1.2,138.0,17125.8,AA0212MBYNAU,AA0212,F16C0Y165,AA0212MBYNAU,5.1525
P004696,61.15,59.53,61.15,0.0,276.0,16877.4,AA0001EDBTFB,AA0001,F16C0Y165,AA0001EDBTFB,10.97
P016576,78.5,80.37,61.5,17.0,273.0,16789.5,AA0004TFBEDB,AA0004,F16C0Y165,AA0004TFBEDB,13.095
P011507,124.5,122.59,122.0,2.5,137.0,16714.0,AA0211NAUMBY,AA0211,F16C0Y165,AA0211NAUMBY,1.83
P041627,86.7,85.98,86.7,0.0,191.0,16559.7,AA0821TNGPHH,super_AA0821,F16C0Y165,AA0821TNGPHH,0.0
P031134,73.55,73.74,72.1,1.45,229.0,16510.9,AA0852IOMTFB,AA0852,F16C0Y165,AA0852IOMTFB,10.715
P031244,64.1,66.27,64.1,0.0,254.0,16281.4,AA0828LPBPBL,AA0828,F16C0Y165,AA0828LPBPBL,7.2675
P039989,100.65,96.41,64.6,36.05,245.0,15827.0,AA0875TFBMJI,AA0875,F16C0Y165,AA0875TFBMJI,12.19
P039857,65.65,67.39,65.65,0.0,241.0,15821.65,AA0843TFBLPB,AA0843,F16C0Y165,AA0843TFBLPB,5.5125
P033344,92.8,92.7,85.95,6.85,183.0,15728.85,AA0812PHHTKD,AA0812,F16C0Y165,AA0812PHHTKD,4.505
P038998,117.3,109.62,79.85,37.45,189.0,15091.65,AA0891TBOIOM,AA0891,F16C0Y165,AA0891TBOIOM,8.9775
P031848,111.65,110.75,91.9,19.75,164.0,15071.6,AA0846MJIPBL,AA0846,F16C0Y165,AA0846MJIPBL,6.54
