Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
BA2295TFBFVH,0.0,0.0,0.0,0.0
BA2574PBLQEY,0.0,0.0,0.0,0.0
AA0576QEYTBO,4.465,1.0243,4.465,4.7
BA2441TFBSOP,0.45,1.3515,0.0,4.32
BA2270TFBHFH,0.28,0.8773,0.0,2.08
BA2526TNGQEY,3.2725,0.0981,3.25,3.2725
BA2087BMXTFB,1.51,1.3733,0.0,3.0
AA0342TFBPBL,0.0,0.0,0.0,0.0
BA2079BMXTFB,0.65,1.1258,0.0,2.6
BA2213QVXTFB,0.0,0.0,0.0,0.0
AA0007FXSTFB,9.645,0.5007,8.3,10.2
BA2100TFBQTD,1.195,1.3133,0.0,3.45
AA0742TFBBUM,8.09,0.2142,8.0,8.6
AA0891TBOIOM,8.9775,2.0596,8.9775,9.45
BA2130QEYTFB,0.0,0.0,0.0,0.0
AA0498TFBTBO,0.0,0.0,0.0,0.0
BA2479ZMXTFB,0.0,0.0,0.0,0.0
BA2485CMJTFB,0.0325,0.1417,0.0,0.0325
AA0893TKDLPB,1.1875,2.8634,0.0,8.75
AA0615MBTTFB,5.2075,0.1818,5.1425,5.52
AA0711MBYZWS,5.8,0.0,5.8,5.8
BA2356QEYHFH,0.0,0.0,0.0,0.0
BA2064TFBFBU,2.3275,0.7895,0.0,2.7
AA0315TGPTFB,3.5275,1.4818,0.0,4.15
AA0211NAUMBY,1.83,2.8254,0.0,6.85
AA0233TKETBO,0.355,1.5474,0.0,0.355
AA0626QEYMBT,3.695,2.1856,0.0,5.25
AA0657QIYQEY,5.3875,1.3943,2.8,6.45
BA2332TFBHFH,0.0,0.0,0.0,0.0
BA2700NGSMBY,0.5303,1.3934,0.0,2.6196
AA0678TFBEFO,0.0,0.0,0.0,0.0
AA0467MBYTFB,3.585,1.2179,1.2825,4.4
BA2571QEYPBL,3.25,1.3177,0.0,3.95
BA2629TFBQEY,0.0,0.0,0.0,0.0
BA2491CMJTFB,0.0,0.0,0.0,0.0
AA0225TKETGP,3.595,3.2054,0.0,7.2325
BA2340TFBNTP,0.055,0.165,0.0,0.55
AA0220TFBTGP,6.4525,0.5778,5.95,7.5
AA0153PUAPNF,0.0,0.0,0.0,0.0
AA0259QWSMBY,7.8,0.0,7.8,7.8
BA2052QEYTFB,0.0,0.0,0.0,0.0
BA2204TFBZWS,0.8025,1.3845,0.0,3.78
BA2121TFBQEY,0.0,0.0,0.0,0.0
BA2236SENQEY,0.0,0.0,0.0,0.0
BA2631TFBQEY,0.0,0.0,0.0,0.0
AA0082BODTFB,0.0,0.0,0.0,0.0
AA0066KOVTFB,0.0,0.0,0.0,0.0
AA0139PSEBOD,13.9625,0.9826,12.85,14.85
BA2635TFBQEY,0.7725,0.843,0.0,2.5825
BA2455CAOTFB,4.1183,1.9736,0.0,5.6075
BA2078MBYTKD,1.54,1.1523,0.0,2.45
AA0066ZBLKOV,0.0,0.0,0.0,0.0
BA2265ZWSTFB,0.0,0.0,0.0,0.0
BA2386TFBZZK,0.0,0.0,0.0,0.0
AA0520TFBCVS,4.92,0.566,4.45,5.65
AA0038TFBNTQ,5.77,0.9458,5.05,7.15
BA2192TFBHFH,0.0,0.0,0.0,0.0
AA3482TFBTCB,2.3225,2.846,0.0,5.7725
BA2045TFBQEY,1.725,1.2524,0.0,3.2
AA0730BODTFB,0.0,0.0,0.0,0.0
BA2046QEYTFB,0.16,0.6974,0.0,0.16
AA0018TFBNDP,8.1525,2.0155,6.84,8.9975
AA0679EFOTFB,5.195,0.834,4.0,5.9
AA0859TFBIOM,9.245,0.7689,8.3,10.25
BA2179TFBSEN,0.485,1.0148,0.0,2.8
BA2451ZWSQEY,0.0,0.0,0.0,0.0
BA2483CMJTFB,2.215,0.4892,1.7,3.215
AA0251TKEMBY,7.4,0.0,7.4,7.4
BA2537QEYCPJ,0.0,0.0,0.0,0.0
BA2083QEYSEN,2.03,1.0446,0.095,3.5125
AA0111TFBBOD,7.2475,1.1678,4.7425,8.15
AA0304TFBTGP,0.0675,0.2942,0.0,0.0675
AA3472TFBMHC,3.65,0.0,3.65,3.65
AA0030QEYCPT,7.715,0.409,6.75,7.9
AA0014TFBFXS,7.25,0.0,7.25,7.25
AA0621MBTQEY,1.8975,1.745,0.0,4.35
AA0052GBJBOD,0.0,0.0,0.0,0.0
AA0073TJUKOV,0.0,0.0,0.0,0.0
BA2026QEYTFB,0.0275,0.0915,0.0,0.1625
AA0671BVTTFB,6.6475,1.583,4.8925,7.1
BA2106TFBQTD,3.2,0.3671,2.84,3.4825
AA0731TFBBOD,0.0,0.0,0.0,0.0
AA0472TFBTBO,0.0,0.0,0.0,0.0
AA0630TFBQIY,3.3625,1.9959,0.0,5.55
BA2148TFBCPJ,0.0,0.0,0.0,0.0
AA0190GBJBOD,3.385,2.1184,0.0,6.15
BA2136TFBCPJ,0.0,0.0,0.0,0.0
BA2014QEYTFB,2.38,0.6252,1.1875,2.5725
AA0329TKDTFB,1.935,2.1392,0.0,4.3
BA2347NTPTFB,0.29,0.9312,0.0,1.955
BA2409ZWSTFB,0.06,0.2615,0.0,0.06
BA2133CPJTFB,0.545,1.1471,0.0,3.175
BA2378TFBHFH,0.81,1.4172,0.0,3.5525
AA0618TFBMBT,0.0,0.0,0.0,0.0
AA0234TGPTKE,0.0,0.0,0.0,0.0
AA0665EGXTFB,1.6925,2.5886,0.0,5.7175
AA0037NTQTFB,4.975,1.1965,4.8925,5.2325
AA0494TFBTBO,4.73,0.3487,4.65,4.73
AA0062KOVTJU,0.0,0.0,0.0,0.0
AA0558TFBQTQ,0.395,1.185,0.0,3.95
AA0477MBYTFB,5.785,0.0477,5.75,5.85
AA0452TFBMBY,1.78,2.18,0.0,4.45
AA0636TFBQIY,0.0,0.0,0.0,0.0
AA0069LUOKOV,0.0,0.0,0.0,0.0
BA2426TFBCPJ,3.2275,1.3878,0.0,4.05
BA2242TFBZWS,1.8175,1.8827,0.0,4.3025
AA0474TFBMBY,0.5025,1.2361,0.0,3.675
AA0706ZWSMBY,0.29,1.2641,0.0,0.29
BA2371HFHTFB,4.135,0.6825,3.5725,4.97
AA0065XSHQTH,0.0,0.0,0.0,0.0
BA2193HFHTFB,3.315,0.8044,2.6125,3.6
BA2151TFBQEY,0.0,0.0,0.0,0.0
BA2250SOPTFB,5.24,0.4499,4.795,6.1
BA2324TFBHUG,2.685,2.4321,0.0,5.25
BA2358QEYHFH,0.0,0.0,0.0,0.0
AA3481TCBTFB,6.355,0.8305,4.8975,7.55
BA2314TFBZWS,1.015,1.6004,0.0,4.255
AA0245MBYTFB,1.76,2.1556,0.0,4.4
BA2382TFBZZK,0.0,0.0,0.0,0.0
BA2355HFHQEY,2.16,1.0042,0.0,2.8
AA0317QTQTGP,4.45,0.0,4.45,4.45
AA0231TGPTFB,3.965,1.3973,0.0,5.3
