Task,Origin,Destination,Leg_Count,Legs,Assigned_Fleet,Seat_Capacity_Per_Leg,Seat_Capacity,Task_Capacity,Total_Fly_Minutes,Fly_Minutes,Passenger_Boardings,Expected_Passengers,Total_Sold,Total_Unmet,Expected_Load(%),Load_Factor(%),Attributed_Revenue,Revenue,Operating_Cost,Cost,Attributed_Profit,Profit,Avg_Shadow_Price,Max_Shadow_Price,Shadow_Price_Summary,Product_Count,Is_Overnight_Task,Is_Super_Flight,Recommendation_Tag,Recommendation_Reason
AA0001,EDB,TFB,1,AA0001EDBTFB,F16C0Y165,165,165,165,343,343,165.0,165.0,159.22,61.57,100.0,100.0,44396.88,44396.88,26308.1,26308.1,18088.77,18088.77,10.97,10.97,avg=10.97; max=10.97; positive_legs=1,53,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0002,TFB,EDB,1,AA0002TFBEDB,F16C0Y165,165,165,165,294,294,165.0,165.0,147.15,50.95,100.0,100.0,42500.7,42500.7,22549.8,22549.8,19950.9,19950.9,10.5775,10.5775,avg=10.58; max=10.58; positive_legs=1,49,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0003,EDB,TFB,1,AA0003EDBTFB,F16C0Y165,165,165,165,345,345,152.4,152.4,138.9,1.57,92.36,92.36,34719.83,34719.83,26461.5,26461.5,8258.33,8258.33,0.93,0.93,avg=0.93; max=0.93; positive_legs=1,49,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0004,TFB,EDB,1,AA0004TFBEDB,F16C0Y165,165,165,165,300,300,165.0,165.0,159.75,80.5,100.0,100.0,55498.55,55498.55,23010.0,23010.0,32488.55,32488.55,13.095,13.095,avg=13.10; max=13.10; positive_legs=1,39,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0005,EDB,MBY,1,AA0005EDBMBY,F16C0Y165,165,165,165,352,352,165.0,165.0,150.28,33.04,100.0,100.0,29305.22,29305.22,26998.4,26998.4,2306.82,2306.82,6.5375,6.5375,avg=6.54; max=6.54; positive_legs=1,52,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0006,MBY,EDB,1,AA0006MBYEDB,F16C0Y165,165,165,165,294,294,165.0,165.0,158.25,20.28,100.0,100.0,33929.85,33929.85,22549.8,22549.8,11380.05,11380.05,6.8125,6.8125,avg=6.81; max=6.81; positive_legs=1,49,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0007,FXS,TFB,1,AA0007FXSTFB,F0C0Y76,76,76,76,370,370,76.0,76.0,67.78,84.03,100.0,100.0,16136.07,16136.07,14738.33,14738.33,1397.74,1397.74,9.645,9.645,avg=9.65; max=9.65; positive_legs=1,30,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0008,TFB,FXS,1,AA0008TFBFXS,F16C0Y165,165,165,165,313,313,165.0,165.0,159.73,76.47,100.0,100.0,36115.25,36115.25,24007.1,24007.1,12108.15,12108.15,8.0,8.0,avg=8.00; max=8.00; positive_legs=1,39,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0011,FXS,TFB,1,AA0011FXSTFB,F16C0Y165,165,165,165,357,357,163.8,163.8,147.41,12.5,99.27,99.27,31356.45,31356.45,27381.9,27381.9,3974.55,3974.55,5.485,5.485,avg=5.48; max=5.48; positive_legs=1,65,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0012,TFB,CPT,1,AA0012TFBCPT,F16C0Y165,165,165,165,325,325,165.0,165.0,163.45,70.95,100.0,100.0,42617.73,42617.73,24927.5,24927.5,17690.23,17690.23,9.57,9.57,avg=9.57; max=9.57; positive_legs=1,26,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0014,TFB,FXS,1,AA0014TFBFXS,F0C0Y76,76,76,76,307,307,76.0,76.0,68.8,27.73,100.0,100.0,15348.63,15348.63,12228.83,12228.83,3119.79,3119.79,7.25,7.25,avg=7.25; max=7.25; positive_legs=1,26,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0015,CPT,TFB,1,AA0015CPTTFB,F16C0Y165,165,165,165,372,372,165.0,165.0,162.55,58.45,100.0,100.0,33462.0,33462.0,28532.4,28532.4,4929.6,4929.6,7.4625,7.4625,avg=7.46; max=7.46; positive_legs=1,23,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0016,TFB,NJB,1,AA0016TFBNJB,F16C0Y165,165,165,165,340,340,153.5,153.5,150.7,3.55,93.03,93.03,28472.97,28472.97,26078.0,26078.0,2394.97,2394.97,1.9375,1.9375,avg=1.94; max=1.94; positive_legs=1,17,1,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0017,NJB,TFB,1,AA0017NJBTFB,F16C0Y165,165,165,165,394,394,165.0,165.0,158.2,41.43,100.0,100.0,38678.32,38678.32,30219.8,30219.8,8458.52,8458.52,8.4525,8.4525,avg=8.45; max=8.45; positive_legs=1,38,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0018,TFB,NDP,1,AA0018TFBNDP,F16C0Y165,165,165,165,329,329,164.65,164.65,158.9,30.45,99.79,99.79,38194.9,38194.9,25234.3,25234.3,12960.6,12960.6,8.1525,8.1525,avg=8.15; max=8.15; positive_legs=1,30,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0019,NDP,TFB,1,AA0019NDPTFB,F16C0Y165,165,165,165,380,380,157.65,157.65,145.12,2.0,95.55,95.55,32279.0,32279.0,29146.0,29146.0,3133.0,3133.0,1.5425,1.5425,avg=1.54; max=1.54; positive_legs=1,29,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0020,TFB,PSE,1,AA0020TFBPSE,F16C0Y165,165,165,165,238,238,165.0,165.0,153.43,127.88,100.0,100.0,32496.0,32496.0,18254.6,18254.6,14241.4,14241.4,8.375,8.375,avg=8.37; max=8.37; positive_legs=1,70,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0021,PSE,TFB,1,AA0021PSETFB,F16C0Y165,165,165,165,270,270,165.0,165.0,136.83,108.38,100.0,100.0,30125.08,30125.08,20709.0,20709.0,9416.08,9416.08,7.89,7.89,avg=7.89; max=7.89; positive_legs=1,73,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
