Product,Max_Demand,Sold_Tickets,Legs,Tasks,Assigned_Fleets
P000000,2.29,2.29,AA0040BERBOD,AA0040,F12C12Y48
P000001,2.07,2.07,AA0040BERBOD,AA0040,F12C12Y48
P000002,0.66,0.66,AA0040BERBOD,AA0040,F12C12Y48
P000004,13.12,13.12,AA0040BERBOD,AA0040,F12C12Y48
P000005,3.67,3.67,AA0040BERBOD,AA0040,F12C12Y48
P000006,2.0,2.0,AA0040BERBOD,AA0040,F12C12Y48
P000008,0.33,0.33,AA0040BERBOD,AA0040,F12C12Y48
P000009,3.37,3.37,AA0040BERBOD,AA0040,F12C12Y48
P000010,6.3,6.3,AA0040BERBOD,AA0040,F12C12Y48
P000011,1.69,1.69,AA0048BERBOD,AA0048,F12C12Y48
P000013,0.66,0.66,AA0048BERBOD,AA0048,F12C12Y48
P000015,14.47,14.47,AA0048BERBOD,AA0048,F12C12Y48
P000016,11.1,11.1,AA0048BERBOD,AA0048,F12C12Y48
P000017,1.0,1.0,AA0048BERBOD,AA0048,F12C12Y48
P000019,0.33,0.33,AA0048BERBOD,AA0048,F12C12Y48
P000020,0.66,0.66,AA0048BERBOD,AA0048,F12C12Y48
P000021,4.3,4.3,AA0048BERBOD,AA0048,F12C12Y48
P000024,0.33,0.33,AA0040BERBOD -> AA0104BODTFB,AA0040 -> AA0104,F12C12Y48 -> F12C12Y48
P000030,0.66,0.66,AA0040BERBOD -> AA0104BODTFB,AA0040 -> AA0104,F12C12Y48 -> F12C12Y48
P000039,0.67,0.67,AA0040BERBOD -> AA0106BODTFB,AA0040 -> AA0106,F12C12Y48 -> F16C0Y165
P000048,2.33,2.33,AA0048BERBOD -> AA0080BODTFB,AA0048 -> AA0080,F12C12Y48 -> F0C0Y76
P000052,0.33,0.33,AA0048BERBOD -> AA0080BODTFB,AA0048 -> AA0080,F12C12Y48 -> F0C0Y76
P000059,1.66,1.66,AA0048BERBOD -> AA0084BODTFB,AA0048 -> AA0084,F12C12Y48 -> F16C0Y165
P000068,0.5,0.5,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F12C12Y48 -> F0C0Y76
P000070,1.5,1.5,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F12C12Y48 -> F0C0Y76
P000076,1.0,1.0,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F12C12Y48 -> F0C0Y76
P000077,4.66,4.66,AA0047BODBER,AA0047,F12C12Y48
P000079,0.33,0.33,AA0047BODBER,AA0047,F12C12Y48
P000080,0.67,0.67,AA0047BODBER,AA0047,F12C12Y48
P000081,10.98,10.98,AA0047BODBER,AA0047,F12C12Y48
P000082,2.33,2.33,AA0047BODBER,AA0047,F12C12Y48
P000083,3.33,3.33,AA0047BODBER,AA0047,F12C12Y48
P000085,1.0,1.0,AA0047BODBER,AA0047,F12C12Y48
P000086,1.0,1.0,AA0047BODBER,AA0047,F12C12Y48
P000087,16.01,16.01,AA0047BODBER,AA0047,F12C12Y48
P000088,1.72,1.72,AA0049BODBER,AA0049,F12C12Y48
P000089,0.04,0.04,AA0049BODBER,AA0049,F12C12Y48
P000090,0.36,0.36,AA0049BODBER,AA0049,F12C12Y48
P000091,0.34,0.34,AA0049BODBER,AA0049,F12C12Y48
P000092,12.14,12.14,AA0049BODBER,AA0049,F12C12Y48
P000093,3.06,3.06,AA0049BODBER,AA0049,F12C12Y48
P000094,2.96,2.96,AA0049BODBER,AA0049,F12C12Y48
P000096,0.37,0.37,AA0049BODBER,AA0049,F12C12Y48
P000097,1.17,1.17,AA0049BODBER,AA0049,F12C12Y48
P000098,9.83,9.83,AA0049BODBER,AA0049,F12C12Y48
P000103,0.66,0.66,AA0112BODTFB -> AA0742TFBBUM,AA0112 -> AA0742,F0C0Y76 -> F16C0Y165
P000113,0.79,0.79,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000114,1.3,1.3,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000119,0.33,0.33,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000120,0.33,0.33,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000124,0.34,0.34,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000129,0.12,0.12,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000131,0.32,0.32,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000132,4.35,4.35,AA0041BODCFU,AA0041,F0C0Y72
P000133,0.33,0.33,AA0041BODCFU,AA0041,F0C0Y72
P000134,15.17,15.17,AA0041BODCFU,AA0041,F0C0Y72
P000135,1.67,1.67,AA0041BODCFU,AA0041,F0C0Y72
P000136,11.68,11.68,AA0041BODCFU,AA0041,F0C0Y72
P000137,6.55,6.55,AA0041BODCFU,AA0041,F0C0Y72
P000138,2.67,2.67,AA0041BODCFU,AA0041,F0C0Y72
P000140,0.7,0.7,AA0041BODCFU,AA0041,F0C0Y72
P000141,0.66,0.66,AA0041BODCFU,AA0041,F0C0Y72
P000142,17.58,17.58,AA0041BODCFU,AA0041,F0C0Y72
P000143,1.54,1.54,AA0043BODCFU,AA0043,F0C0Y76
P000145,13.31,13.31,AA0043BODCFU,AA0043,F0C0Y76
P000147,30.41,20.72,AA0043BODCFU,AA0043,F0C0Y76
P000148,10.58,10.58,AA0043BODCFU,AA0043,F0C0Y76
P000153,25.91,25.91,AA0043BODCFU,AA0043,F0C0Y76
P000154,3.09,3.09,AA0045BODCFU,AA0045,F12C12Y48
P000156,5.04,5.04,AA0045BODCFU,AA0045,F12C12Y48
P000158,11.95,11.95,AA0045BODCFU,AA0045,F12C12Y48
P000159,8.17,8.17,AA0045BODCFU,AA0045,F12C12Y48
P000164,11.19,11.19,AA0045BODCFU,AA0045,F12C12Y48
P000175,0.23,0.23,AA0084BODTFB -> BA2302TFBCJM,AA0084 -> BA2302,F16C0Y165 -> F0C0Y72
P000177,2.75,2.75,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F0C0Y72 -> F0C0Y76
P000181,0.6,0.6,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F0C0Y72 -> F0C0Y76
P000186,0.29,0.29,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F0C0Y72 -> F0C0Y76
P000188,1.08,1.08,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F0C0Y72 -> F16C0Y165
P000191,0.23,0.23,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F0C0Y72 -> F16C0Y165
P000192,0.3,0.3,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F0C0Y72 -> F16C0Y165
P000196,0.81,0.81,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F0C0Y72 -> F16C0Y165
P000198,0.32,0.32,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F0C0Y76 -> F0C0Y76
P000202,0.32,0.32,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F0C0Y76 -> F0C0Y76
P000208,0.32,0.32,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F0C0Y76 -> F0C0Y76
P000211,0.37,0.37,AA0084BODTFB -> BA2490TFBCMJ,AA0084 -> BA2490,F16C0Y165 -> F0C0Y76
P000213,1.01,1.01,AA0084BODTFB -> BA2490TFBCMJ,AA0084 -> BA2490,F16C0Y165 -> F0C0Y76
P000226,0.27,0.27,AA0092BODTFB -> BA2492TFBCMJ,AA0092 -> BA2492,F16C0Y165 -> F0C0Y72
P000232,0.05,0.05,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000234,0.03,0.03,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000235,0.41,0.41,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000237,0.35,0.35,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000239,0.05,0.05,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000240,0.03,0.03,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000243,0.04,0.04,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000245,0.02,0.02,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000246,0.43,0.43,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000250,0.07,0.07,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000251,0.02,0.02,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000254,0.73,0.73,AA0080BODTFB -> BA2140TFBCPJ,AA0080 -> BA2140,F0C0Y76 -> F0C0Y76
P000265,2.92,2.92,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
P000267,0.29,0.29,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
P000268,0.22,0.22,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
P000274,0.33,0.33,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
P000275,0.21,0.21,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F0C0Y76
P000276,1.66,1.66,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F0C0Y76
P000277,1.11,1.11,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F0C0Y76
P000287,0.67,0.67,AA0084BODTFB -> BA2368TFBCPJ,AA0084 -> BA2368,F16C0Y165 -> F0C0Y76
P000298,0.55,0.55,AA0090BODTFB -> BA2268TFBCPJ,AA0090 -> BA2268,F0C0Y76 -> F0C0Y76
