Product,Max_Demand,Sold_Tickets,Legs,Tasks,Assigned_Fleets
P000000,2.29,2.29,AA0040BERBOD,AA0040,F12C0Y112
P000001,2.0700000000000003,2.07,AA0040BERBOD,AA0040,F12C0Y112
P000002,5.862767245813432,5.86,AA0040BERBOD,AA0040,F12C0Y112
P000004,13.12,13.12,AA0040BERBOD,AA0040,F12C0Y112
P000005,3.67,3.67,AA0040BERBOD,AA0040,F12C0Y112
P000006,8.792214528586605,8.79,AA0040BERBOD,AA0040,F12C0Y112
P000008,22.899344969474143,22.9,AA0040BERBOD,AA0040,F12C0Y112
P000009,3.37,3.37,AA0040BERBOD,AA0040,F12C0Y112
P000010,6.3,6.3,AA0040BERBOD,AA0040,F12C0Y112
P000011,1.69,1.69,AA0048BERBOD,AA0048,F16C0Y165
P000013,5.862767245813432,5.86,AA0048BERBOD,AA0048,F16C0Y165
P000015,14.47,14.47,AA0048BERBOD,AA0048,F16C0Y165
P000016,11.1,11.1,AA0048BERBOD,AA0048,F16C0Y165
P000017,8.356884204177723,8.36,AA0048BERBOD,AA0048,F16C0Y165
P000019,22.899344969474143,22.9,AA0048BERBOD,AA0048,F16C0Y165
P000020,11.54395999178593,11.54,AA0048BERBOD,AA0048,F16C0Y165
P000021,4.3,4.3,AA0048BERBOD,AA0048,F16C0Y165
P000024,5.727960028586975,5.73,AA0040BERBOD -> AA0104BODTFB,AA0040 -> AA0104,F12C0Y112 -> F16C0Y165
P000030,23.00670051942777,23.01,AA0040BERBOD -> AA0104BODTFB,AA0040 -> AA0104,F12C0Y112 -> F16C0Y165
P000039,8.223699092306736,8.22,AA0040BERBOD -> AA0106BODTFB,AA0040 -> AA0106,F12C0Y112 -> F16C0Y165
P000048,12.973397023694748,12.97,AA0048BERBOD -> AA0080BODTFB,AA0048 -> AA0080,F16C0Y165 -> F16C0Y165
P000052,22.899344969474143,22.9,AA0048BERBOD -> AA0080BODTFB,AA0048 -> AA0080,F16C0Y165 -> F16C0Y165
P000059,12.68301623932236,12.68,AA0048BERBOD -> AA0084BODTFB,AA0048 -> AA0084,F16C0Y165 -> F16C0Y165
P000068,5.796495131320095,5.8,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F16C0Y165 -> F16C0Y165
P000070,12.615741882581712,12.62,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F16C0Y165 -> F16C0Y165
P000076,1.0,1.0,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F16C0Y165 -> F16C0Y165
P000077,4.66,4.66,AA0047BODBER,AA0047,F12C0Y112
P000079,5.727960028586975,5.73,AA0047BODBER,AA0047,F12C0Y112
P000080,19.54124548881412,19.54,AA0047BODBER,AA0047,F12C0Y112
P000081,10.98,10.98,AA0047BODBER,AA0047,F12C0Y112
P000082,2.33,2.33,AA0047BODBER,AA0047,F12C0Y112
P000083,9.443192987062284,9.44,AA0047BODBER,AA0047,F12C0Y112
P000085,23.119373278020603,23.12,AA0047BODBER,AA0047,F12C0Y112
P000086,11.66617904009988,11.67,AA0047BODBER,AA0047,F12C0Y112
P000087,16.01,16.01,AA0047BODBER,AA0047,F12C0Y112
P000088,1.7200000000000002,1.72,AA0049BODBER,AA0049,F16C0Y165
P000089,0.04,0.04,AA0049BODBER,AA0049,F16C0Y165
P000090,5.739913484418548,5.74,AA0049BODBER,AA0049,F16C0Y165
P000091,0.34,0.34,AA0049BODBER,AA0049,F16C0Y165
P000092,12.14,12.14,AA0049BODBER,AA0049,F16C0Y165
P000093,3.06,3.06,AA0049BODBER,AA0049,F16C0Y165
P000094,2.96,2.96,AA0049BODBER,AA0049,F16C0Y165
P000096,0.37,0.37,AA0049BODBER,AA0049,F16C0Y165
P000097,1.1700000000000002,1.17,AA0049BODBER,AA0049,F16C0Y165
P000098,9.83,9.83,AA0049BODBER,AA0049,F16C0Y165
P000132,4.3500000000000005,4.35,AA0041BODCFU,AA0041,F0C0Y76
P000133,17.26796098308241,17.27,AA0041BODCFU,AA0041,F0C0Y76
P000134,15.17,15.17,AA0041BODCFU,AA0041,F0C0Y76
P000135,19.920741165705728,2.7,AA0041BODCFU,AA0041,F0C0Y76
P000136,11.68,11.68,AA0041BODCFU,AA0041,F0C0Y76
P000137,6.550000000000001,6.55,AA0041BODCFU,AA0041,F0C0Y76
P000140,0.7000000000000001,0.7,AA0041BODCFU,AA0041,F0C0Y76
P000142,17.579999999999995,17.58,AA0041BODCFU,AA0041,F0C0Y76
P000143,4.679833481186573,4.68,AA0043BODCFU,AA0043,F16C0Y165
P000144,0.03,0.03,AA0043BODCFU,AA0043,F16C0Y165
P000145,13.31,13.31,AA0043BODCFU,AA0043,F16C0Y165
P000146,0.03,0.03,AA0043BODCFU,AA0043,F16C0Y165
P000147,30.40999999999999,30.41,AA0043BODCFU,AA0043,F16C0Y165
P000148,10.58,10.58,AA0043BODCFU,AA0043,F16C0Y165
P000149,16.75,16.75,AA0043BODCFU,AA0043,F16C0Y165
P000151,0.05,0.05,AA0043BODCFU,AA0043,F16C0Y165
P000152,0.03,0.03,AA0043BODCFU,AA0043,F16C0Y165
P000153,25.91,25.91,AA0043BODCFU,AA0043,F16C0Y165
P000154,3.09,3.09,AA0045BODCFU,AA0045,F16C0Y165
P000155,17.391735212862205,17.39,AA0045BODCFU,AA0045,F16C0Y165
P000156,8.28702575402064,8.29,AA0045BODCFU,AA0045,F16C0Y165
P000158,11.95,11.95,AA0045BODCFU,AA0045,F16C0Y165
P000159,8.17,8.17,AA0045BODCFU,AA0045,F16C0Y165
P000160,8.356884204177723,8.36,AA0045BODCFU,AA0045,F16C0Y165
P000162,23.45237335793252,23.45,AA0045BODCFU,AA0045,F16C0Y165
P000163,11.958339991863095,9.59,AA0045BODCFU,AA0045,F16C0Y165
P000164,11.19,11.19,AA0045BODCFU,AA0045,F16C0Y165
P000181,0.6,0.6,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F16C0Y165 -> F16C0Y165
P000186,0.29,0.29,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F16C0Y165 -> F16C0Y165
P000192,0.3,0.3,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F16C0Y165 -> F16C0Y165
P000198,0.32,0.32,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F16C0Y165 -> F16C0Y165
P000202,12.1444518964007,12.14,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F16C0Y165 -> F16C0Y165
P000208,0.32,0.32,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F16C0Y165 -> F16C0Y165
P000211,5.74391140657664,5.74,AA0084BODTFB -> BA2490TFBCMJ,AA0084 -> BA2490,F16C0Y165 -> F16C0Y165
P000213,12.414709982147558,12.41,AA0084BODTFB -> BA2490TFBCMJ,AA0084 -> BA2490,F16C0Y165 -> F16C0Y165
P000232,17.17898834087362,17.18,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
