Product,Expected_Demand,Expected_Sold,Expected_Unmet,Legs,Tasks,Assigned_Fleets
P000000,2.2,2.2,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000001,2.0,2.0,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000002,5.85,5.85,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000004,13.1,13.1,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000005,3.8,3.8,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000006,8.6,8.6,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000008,24.5,24.5,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000009,3.3,3.3,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000010,6.9,6.9,0.0,AA0040BERBOD,AA0040,F16C0Y165
P000011,1.6,1.6,0.0,AA0048BERBOD,AA0048,F16C0Y165
P000013,5.45,5.45,0.0,AA0048BERBOD,AA0048,F16C0Y165
P000015,15.3,15.3,0.0,AA0048BERBOD,AA0048,F16C0Y165
P000016,11.1,11.1,0.0,AA0048BERBOD,AA0048,F16C0Y165
P000017,8.1,8.1,0.0,AA0048BERBOD,AA0048,F16C0Y165
P000019,22.65,22.65,0.0,AA0048BERBOD,AA0048,F16C0Y165
P000020,11.5,11.5,0.0,AA0048BERBOD,AA0048,F16C0Y165
P000021,4.4,4.4,0.0,AA0048BERBOD,AA0048,F16C0Y165
P000024,5.55,5.55,0.0,AA0040BERBOD -> AA0104BODTFB,AA0040 -> AA0104,F16C0Y165 -> F16C0Y165
P000030,24.35,24.35,0.0,AA0040BERBOD -> AA0104BODTFB,AA0040 -> AA0104,F16C0Y165 -> F16C0Y165
P000039,8.3,8.3,0.0,AA0040BERBOD -> AA0106BODTFB,AA0040 -> AA0106,F16C0Y165 -> F16C0Y165
P000048,12.65,12.65,0.0,AA0048BERBOD -> AA0080BODTFB,AA0048 -> AA0080,F16C0Y165 -> F16C0Y165
