Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load_Factor(%)
AA0065QTHKOV,super_AA0065,F0C0Y76,76,76.0,100.0
AA0731TFBBOD,super_AA0731,F16C0Y165,165,165.0,100.0
AA0303TGPTFB,AA0303,F16C0Y165,165,165.0,100.0
BA2061TFBQEY,BA2061,F16C0Y165,165,165.0,100.0
BA2288TFBGDB,BA2288,F16C0Y165,165,165.0,100.0
AA0621MBTQEY,AA0621,F16C0Y165,165,165.0,100.0
BA2108TFBQTD,BA2108,F16C0Y165,165,165.0,100.0
BA2241HFHTFB,BA2241,F16C0Y165,165,165.0,100.0
AA0893TKDLPB,AA0893,F16C0Y165,165,162.6,98.55
BA2450QEYZWS,BA2450,F16C0Y165,165,165.0,100.0
BA2533QEYGBU,BA2533,F16C0Y165,165,165.0,100.0
AA0693HFHTFB,AA0693,F16C0Y165,165,165.0,100.0
AA0062BODKOV,super_AA0062,F16C0Y165,165,164.75,99.85
AA0123TFBGBJ,AA0123,F16C0Y165,165,165.0,100.0
BA2167QEYTKD,super_BA2167,F16C0Y165,165,160.15,97.06
AA0485TBOTFB,AA0485,F0C0Y76,76,76.0,100.0
AA0016TFBNJB,AA0016,F16C0Y165,165,165.0,100.0
BA2486TFBCMJ,BA2486,F16C0Y165,165,165.0,100.0
AA0065LUOXSH,super_AA0065,F0C0Y76,76,42.55,55.99
BA2051TFBQEY,BA2051,F16C0Y165,165,165.0,100.0
AA0065TFBLUO,super_AA0065,F0C0Y76,76,76.0,100.0
AA0479MBYQEY,AA0479,F16C0Y165,165,165.0,100.0
AA0307QTQTGP,super_AA0307,F16C0Y165,165,165.0,100.0
BA2401CJMTFB,BA2401,F16C0Y165,165,165.0,100.0
AA0590QEYTOB,AA0590,F0C0Y76,76,76.0,100.0
BA2544QEYTFB,BA2544,F16C0Y165,165,165.0,100.0
AA0892IOMTBO,AA0892,F16C0Y165,165,164.9,99.94
AA3454QEYCVS,AA3454,F16C0Y165,165,165.0,100.0
BA2435ZWSQEY,BA2435,F16C0Y165,165,165.0,100.0
AA0304TFBTGP,AA0304,F16C0Y165,165,165.0,100.0
BA2353HFHQEY,BA2353,F16C0Y165,165,165.0,100.0
BA2404TKDCPJ,super_BA2404,F0C0Y76,76,76.0,100.0
AA0467MBYTFB,AA0467,F16C0Y165,165,165.0,100.0
BA2077TKDMBY,BA2077,F0C0Y76,76,61.9,81.45
AA0846MJIPBL,AA0846,F16C0Y165,165,161.65,97.97
BA2044QEYTFB,BA2044,F16C0Y165,165,165.0,100.0
AA0685EFOTFB,AA0685,F16C0Y165,165,165.0,100.0
BA2321HUGTFB,super_BA2321,F0C0Y76,76,76.0,100.0
AA0852IOMTFB,AA0852,F16C0Y165,165,165.0,100.0
BA2332TFBHFH,BA2332,F16C0Y165,165,165.0,100.0
BA2098NGSQEY,BA2098,F16C0Y165,165,165.0,100.0
AA0124GBJTFB,AA0124,F16C0Y165,165,165.0,100.0
AA3482TFBTCB,AA3482,F16C0Y165,165,165.0,100.0
BA2369HFHTFB,BA2369,F16C0Y165,165,165.0,100.0
AA0046CFUBOD,AA0046,F0C0Y76,76,75.05,98.75
BA2001ZLNTFB,BA2001,F0C0Y76,76,76.0,100.0
AA0664TFBEGX,AA0664,F16C0Y165,165,165.0,100.0
BA2356QEYHFH,BA2356,F16C0Y165,165,165.0,100.0
BA2015TFBQEY,BA2015,F16C0Y165,165,165.0,100.0
AA0536TFBPOU,AA0536,F16C0Y165,165,165.0,100.0
AA3481TCBTFB,AA3481,F16C0Y165,165,159.75,96.82
AA0255TKEMBY,AA0255,F16C0Y165,165,165.0,100.0
BA2492TFBCMJ,BA2492,F16C0Y165,165,165.0,100.0
AA0691HFHTFB,AA0691,F16C0Y165,165,165.0,100.0
AA0709MBYZWS,AA0709,F16C0Y165,165,165.0,100.0
BA2151TFBQEY,BA2151,F16C0Y165,165,165.0,100.0
BA2218CPJMXT,super_BA2218,F0C0Y76,76,44.95,59.14
AA0610TFBMBT,AA0610,F16C0Y165,165,165.0,100.0
AA3452QEYCVS,AA3452,F16C0Y165,165,164.5,99.7
AA0514TFBTOB,AA0514,F16C0Y165,165,165.0,100.0
BA2237CPJTFB,BA2237,F16C0Y165,165,165.0,100.0
AA0073TJUKOV,super_AA0073,F16C0Y165,165,110.8,67.15
BA2095QEYNGS,BA2095,F16C0Y165,165,165.0,100.0
AA0067KOVBOD,super_AA0067,F16C0Y165,165,165.0,100.0
BA2092QEYTFB,super_BA2092,F16C0Y165,165,165.0,100.0
BA2542TFBZFH,BA2542,F16C0Y165,165,165.0,100.0
BA2352QEYHFH,BA2352,F16C0Y165,165,137.35,83.24
AA0244MBYNFY,super_AA0244,F16C0Y165,165,165.0,100.0
AA0476TFBMBY,AA0476,F16C0Y165,165,165.0,100.0
BA2158TFBFBU,BA2158,F0C0Y76,76,70.55,92.83
BA2234TFBHFH,BA2234,F16C0Y165,165,165.0,100.0
AA0152PUABOD,super_AA0152,F16C0Y165,165,92.4,56.0
BA2637TFBPBL,BA2637,F0C0Y76,76,76.0,100.0
BA2216TFBQVX,BA2216,F0C0Y76,76,76.0,100.0
BA2635QEYTGP,super_BA2635,F16C0Y165,165,165.0,100.0
AA0326TFBTKD,AA0326,F16C0Y165,165,165.0,100.0
AA3477MHCTFB,AA3477,F0C0Y76,76,76.0,100.0
BA2326IMOTFB,super_BA2326,F16C0Y165,165,165.0,100.0
AA0188GBJBOD,AA0188,F16C0Y165,165,147.95,89.67
AA0354TFBPBL,AA0354,F16C0Y165,165,165.0,100.0
BA2192TFBHFH,BA2192,F16C0Y165,165,165.0,100.0
AA0226TFBTKD,super_AA0226,F16C0Y165,165,165.0,100.0
