Leg,Expected_Shadow_Price
AA0065QTHKOV,56.7
AA0731TFBBOD,245.6
AA0303TGPTFB,83.05
BA2061TFBQEY,49.95
BA2288TFBGDB,15.95
AA0621MBTQEY,77.1
BA2108TFBQTD,22.3
BA2241HFHTFB,73.85
AA0893TKDLPB,110.8
BA2450QEYZWS,105.55
BA2533QEYGBU,70.05
AA0693HFHTFB,94.45
AA0062BODKOV,79.05
AA0123TFBGBJ,352.5
BA2167QEYTKD,28.3
AA0485TBOTFB,135.65
AA0016TFBNJB,130.81
BA2486TFBCMJ,56.65
AA0065LUOXSH,0.0
BA2051TFBQEY,32.3
AA0065TFBLUO,142.2
AA0479MBYQEY,73.35
AA0307QTQTGP,94.45
BA2401CJMTFB,66.8
AA0590QEYTOB,67.2
BA2544QEYTFB,66.34
AA0892IOMTBO,192.85
AA3454QEYCVS,49.95
BA2435ZWSQEY,101.7
AA0304TFBTGP,66.5
BA2353HFHQEY,75.05
BA2404TKDCPJ,101.6
AA0467MBYTFB,136.7
BA2077TKDMBY,0.0
AA0846MJIPBL,122.6
BA2044QEYTFB,65.55
AA0685EFOTFB,110.6
BA2321HUGTFB,97.0
AA0852IOMTFB,212.5
BA2332TFBHFH,54.3
BA2098NGSQEY,48.1
AA0124GBJTFB,246.04
AA3482TFBTCB,74.95
BA2369HFHTFB,86.9
AA0046CFUBOD,96.8
BA2001ZLNTFB,57.3
AA0664TFBEGX,127.8
BA2356QEYHFH,98.1
BA2015TFBQEY,65.05
AA0536TFBPOU,85.95
AA3481TCBTFB,8.15
AA0255TKEMBY,138.3
BA2492TFBCMJ,48.35
AA0691HFHTFB,91.05
AA0709MBYZWS,116.0
BA2151TFBQEY,82.81
BA2218CPJMXT,0.0
AA0610TFBMBT,110.85
AA3452QEYCVS,22.95
AA0514TFBTOB,89.0
BA2237CPJTFB,90.55
AA0073TJUKOV,0.0
BA2095QEYNGS,58.05
AA0067KOVBOD,112.75
BA2092QEYTFB,80.14
BA2542TFBZFH,123.01
BA2352QEYHFH,0.0
AA0244MBYNFY,134.0
AA0476TFBMBY,89.0
BA2158TFBFBU,3.4
BA2234TFBHFH,62.3
AA0152PUABOD,0.0
BA2637TFBPBL,84.3
BA2216TFBQVX,90.4
BA2635QEYTGP,41.35
AA0326TFBTKD,82.1
AA3477MHCTFB,83.5
BA2326IMOTFB,50.6
AA0188GBJBOD,0.0
AA0354TFBPBL,30.45
BA2192TFBHFH,31.05
AA0226TFBTKD,74.7
AA0363TNGTFB,118.1
AA2702IOMCMJ,171.13
AA0060LUOTFB,0.0
AA0070BODKOV,10.4
BA2624QEYTFB,88.4
AA0233TBOTFB,73.15
AA3461POUQEY,54.3
AA0231TGPTFB,0.0
BA2642QEYTFB,72.55
AA0052CSXGBJ,0.0
BA2110TFBQTD,48.45
BA2175TFBQEY,158.7
AA0494TFBTBO,104.9
AA0026TFBPSE,121.85
AA0754TFBTUM,128.0
AA0095TFBBOD,218.3
BA2284TFBGDB,106.45
BA2106TFBQTD,42.0
BA2392TFBHFH,0.0
BA2422CPJQEY,41.2
AA0052GBJBOD,51.0
AA0048BERBOD,0.0
AA0066BODDEW,84.05
BA2181TFBQEY,64.41
BA2459CAOTFB,78.3
BA2087BMXTFB,0.0
BA2018QEYTFB,64.4
BA2052QEYTFB,46.1
BA2573TFBQEY,96.25
AA3474TFBMHC,73.0
AA0008TFBFXS,160.0
AA0564QEYMBY,83.95
AA0065XSHQTH,0.0
AA3475MHCTFB,71.05
BA2576TNGQEY,33.55
AA0317QTQTGP,87.55
BA2574PBLQEY,11.85
AA0585TOBQEY,85.0
AA0302TGPQTQ,0.0
BA2645QEYTNG,54.15
AA0041BODCFU,123.1
AA3294BODEVU,0.0
BA2174QEYTFB,13.7
BA2155FBUTFB,1.85
AA0151PUAPNF,0.0
AA0638TFBQIY,112.7
BA2614TGPQEY,12.35
BA2324HUGIMO,0.0
BA2538CPJQEY,45.8
BA2438TFBHFH,50.25
AA0575TBOQEY,113.95
AA0103TFBBOD,269.75
AA3490TFBGBU,8.1
AA0104BODTFB,0.0
AA0600TFBMBT,22.0
BA2142TFBCPJ,0.0
AA3299EVUBOD,21.0
AA0515TOBTFB,115.0
BA2043TFBQEY,49.65
BA2138TFBHFH,102.0
BA2393HFHTFB,78.95
AA3453CVSQEY,41.85
AA0875TFBMJI,245.0
AA0223NFYMBY,130.2
AA0114BODTFB,226.95
AA0021PSETFB,167.75
AA0659QIYQEY,98.6
BA2326TFBHUG,55.11
AA0061KOVZBL,8.55
AA0895TKDPHH,175.4
AA0678TFBEFO,80.75
BA2233ZWSTFB,80.55
BA2055TFBQEY,67.0
BA2118TFBZZD,113.6
BA2109QTDTFB,64.2
BA2301CPJQEY,37.4
BA2474TUTTFB,0.0
AA3473MHCTFB,91.3
AA0730TFBJBI,142.8
AA0823PBLLPB,167.0
AA0044CFUBOD,0.0
AA0327TKDTFB,86.3
AA0456TFBMBY,136.5
AA0461MBYTFB,140.0
AA0029PSETFB,137.75
AA0821TFBTNG,89.95
BA2429ZMXTFB,31.6
BA2278SENTFB,13.05
AA0152PNFPUA,0.0
BA2069FBUTFB,45.95
AA0254MBYQWS,107.6
BA2328NGSQEY,34.65
AA0711MBYZWS,62.85
AA0007FXSTFB,138.7
AA3488QEYCVS,68.75
BA2299TFBFVH,57.9
BA2452NGSTFB,47.35
BA2475TFBTUT,0.0
AA0212MBYNAU,129.75
BA2104TFBQTD,16.05
AA0706ZWSMBY,75.4
AA0039NTQTFB,107.9
BA2618TNGQEY,63.65
AA0117TFBBOD,46.71
AA0642TFBQIY,30.9
BA2479ZMXTFB,77.69
BA2629TFBQEY,13.35
AA0731JBITFB,130.25
AA0225TKETGP,144.35
AA3463POUQEY,61.15
BA2273TFBSEN,31.05
AA0312TGPQTQ,28.0
BA2121TFBQEY,0.0
AA0619MBTTFB,114.65
BA2371HFHTFB,142.04
AA0482TFBTBO,107.06
BA2111QTDTFB,3.1
AA0845CMJIOM,200.05
AA0244TFBMBY,89.0
BA2289GDBTFB,108.95
BA2609QEYPBL,65.0
BA2399CPJTFB,23.05
AA0101TFBBOD,279.95
BA2202TFBZLN,0.0
BA2208TFBZLN,8.0
BA2148TFBCPJ,16.85
AA0820TNGTFB,96.1
BA2400TFBCJM,103.2
AA0860IOMTFB,170.85
BA2172QEYTFB,79.24
BA2101QTDTFB,36.2
BA2046QEYTFB,52.2
BA2295TFBFVH,0.0
BA2340TFBNTP,65.8
AA0042CFUBOD,0.0
BA2115ZZDTFB,10.35
AA0487TBOTFB,120.4
AA0014TFBFXS,129.6
AA0084BODTFB,238.65
AA0220TFBTGP,77.35
BA2473TFBQEY,45.75
BA2370TKDQEY,50.65
AA0668TFBBVT,102.95
