Product,Sold_Tickets,Max_Demand
P000000,2.29,2.29
P000001,2.07,2.07
P000002,0.66,0.66
P000004,13.12,13.12
P000005,3.67,3.67
P000006,2.0,2.0
P000008,0.33,0.33
P000009,3.37,3.37
P000010,6.3,6.3
P000011,1.69,1.69
P000013,0.66,0.66
P000015,14.47,14.47
P000016,11.1,11.1
P000017,1.0,1.0
P000019,0.33,0.33
P000020,0.66,0.66
P000021,4.3,4.3
P000024,0.33,0.33
P000030,0.66,0.66
P000039,0.67,0.67
P000048,2.33,2.33
P000052,0.33,0.33
P000059,1.66,1.66
P000068,0.5,0.5
P000070,1.5,1.5
P000076,1.0,1.0
P000077,4.66,4.66
P000079,0.33,0.33
P000080,0.67,0.67
P000081,10.98,10.98
P000082,2.33,2.33
P000083,3.33,3.33
P000085,1.0,1.0
P000086,1.0,1.0
P000087,16.01,16.01
P000088,1.72,1.72
P000089,0.04,0.04
P000090,0.36,0.36
P000091,0.34,0.34
P000092,12.14,12.14
P000093,3.06,3.06
P000094,2.96,2.96
P000096,0.37,0.37
P000097,1.17,1.17
P000098,9.83,9.83
P000103,0.66,0.66
P000113,0.79,0.79
P000114,1.3,1.3
P000119,0.33,0.33
P000120,0.33,0.33
P000124,0.34,0.34
P000129,0.12,0.12
P000131,0.32,0.32
P000132,4.35,4.35
P000133,0.33,0.33
P000134,15.17,15.17
P000135,1.67,1.67
P000136,11.68,11.68
P000137,6.55,6.55
P000138,2.67,2.67
P000140,0.7,0.7
P000141,0.66,0.66
P000142,17.58,17.58
P000143,1.54,1.54
P000145,13.31,13.31
P000147,20.72,30.41
P000148,10.58,10.58
P000153,25.91,25.91
P000154,3.09,3.09
P000156,5.04,5.04
P000158,11.95,11.95
P000159,8.17,8.17
P000164,11.19,11.19
P000175,0.23,0.23
P000177,2.75,2.75
P000181,0.6,0.6
P000186,0.29,0.29
P000188,1.08,1.08
P000191,0.23,0.23
P000192,0.3,0.3
P000196,0.81,0.81
P000198,0.32,0.32
P000202,0.32,0.32
P000208,0.32,0.32
P000211,0.37,0.37
P000213,1.01,1.01
P000226,0.27,0.27
P000232,0.05,0.05
P000234,0.03,0.03
P000235,0.41,0.41
P000237,0.35,0.35
P000239,0.05,0.05
P000240,0.03,0.03
P000243,0.04,0.04
P000245,0.02,0.02
P000246,0.43,0.43
P000250,0.07,0.07
P000251,0.02,0.02
P000254,0.73,0.73
P000265,2.92,2.92
P000267,0.29,0.29
P000268,0.22,0.22
P000274,0.33,0.33
P000275,0.21,0.21
P000276,1.66,1.66
P000277,1.11,1.11
P000287,0.67,0.67
P000298,0.55,0.55
P000300,0.4,0.4
P000309,0.53,0.53
P000310,0.3,0.3
P000311,0.22,0.22
P000320,0.35,0.35
P000331,1.34,1.34
P000341,0.4,0.4
P000342,8.61,8.61
P000343,0.42,0.42
P000345,0.33,0.33
P000349,0.02,0.02
P000351,0.32,0.32
P000353,0.42,0.42
P000364,0.42,0.42
P000365,0.4,0.4
P000375,0.6,0.6
P000385,0.04,0.04
P000386,0.47,0.47
P000387,2.3,2.3
P000388,0.12,0.12
P000389,13.29,13.29
P000390,12.22,12.22
P000391,2.1,2.1
P000392,0.04,0.04
P000393,0.47,0.47
P000394,1.02,1.02
P000395,17.7,17.7
P000397,0.5,0.5
P000398,0.51,0.51
P000399,0.04,0.04
P000400,6.9,6.9
P000401,6.76,6.76
P000402,0.33,0.33
P000404,4.03,4.03
P000405,0.04,0.04
P000406,17.67,17.67
P000409,0.88,0.88
P000412,0.72,0.72
P000417,0.42,0.42
P000422,1.65,1.65
P000423,0.72,0.72
P000428,5.27,5.27
P000429,0.36,0.36
P000430,5.64,5.64
P000431,0.3,0.3
P000437,0.1,0.1
P000438,1.02,1.02
P000439,0.96,0.96
P000441,0.64,0.64
P000448,0.1,0.1
P000451,0.36,0.36
P000459,0.1,0.1
P000463,0.64,0.64
P000470,0.1,0.1
P000474,1.16,1.16
P000482,0.38,0.38
P000485,0.33,0.33
P000496,1.12,1.12
P000498,4.42,4.42
P000499,1.41,1.41
P000500,2.35,2.35
P000501,2.81,2.81
P000503,0.81,0.81
P000504,11.53,11.53
P000505,10.32,10.32
P000507,0.03,0.03
P000509,0.03,0.03
P000514,0.03,0.03
P000515,0.03,0.03
P000516,0.78,0.78
P000521,1.2,1.2
P000527,0.29,0.29
P000528,2.02,2.02
P000529,0.03,0.03
