ProductID,Org,Des,Flight1,Flight2,Flight3,Fare,Total_Demand
P000000,BER,BOD,AA0040BERBOD,.,.,230,2.29
P000001,BER,BOD,AA0040BERBOD,.,.,100,2.07
P000002,BER,BOD,AA0040BERBOD,.,.,105,0.66
P000003,BER,BOD,AA0040BERBOD,.,.,94,0
P000004,BER,BOD,AA0040BERBOD,.,.,145,13.12
P000005,BER,BOD,AA0040BERBOD,.,.,209,3.67
P000006,BER,BOD,AA0040BERBOD,.,.,79,2
P000007,BER,BOD,AA0040BERBOD,.,.,45,0
P000008,BER,BOD,AA0040BERBOD,.,.,98,0.33
P000009,BER,BOD,AA0040BERBOD,.,.,127,3.37
P000010,BER,BOD,AA0040BERBOD,.,.,184,6.3
P000011,BER,BOD,AA0048BERBOD,.,.,230,1.69
P000012,BER,BOD,AA0048BERBOD,.,.,100,0
P000013,BER,BOD,AA0048BERBOD,.,.,105,0.66
P000014,BER,BOD,AA0048BERBOD,.,.,94,0
P000015,BER,BOD,AA0048BERBOD,.,.,145,14.47
P000016,BER,BOD,AA0048BERBOD,.,.,209,11.1
P000017,BER,BOD,AA0048BERBOD,.,.,79,1
P000018,BER,BOD,AA0048BERBOD,.,.,45,0
P000019,BER,BOD,AA0048BERBOD,.,.,98,0.33
P000020,BER,BOD,AA0048BERBOD,.,.,127,0.66
P000021,BER,BOD,AA0048BERBOD,.,.,184,4.3
P000022,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,512,0
P000023,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,252,0
P000024,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,512,0.33
P000025,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,245,0
P000026,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,341,0
P000027,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,399,0
P000028,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,40,0
P000029,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,492,0
P000030,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,301,0.66
P000031,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,388,0
P000032,BER,TFB,AA0040BERBOD,AA0104BODTFB,.,349,0
P000033,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,512,0
P000034,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,252,0
P000035,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,512,0
P000036,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,245,0
P000037,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,341,0
P000038,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,399,0
P000039,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,40,0.67
P000040,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,492,0
P000041,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,301,0
P000042,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,388,0
P000043,BER,TFB,AA0040BERBOD,AA0106BODTFB,.,349,0
P000044,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,512,0
P000045,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,252,0
P000046,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,512,0
P000047,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,245,0
P000048,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,341,2.33
P000049,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,399,0
P000050,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,40,0
P000051,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,492,0
P000052,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,301,0.33
P000053,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,388,0
P000054,BER,TFB,AA0048BERBOD,AA0080BODTFB,.,349,0
P000055,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,512,0
P000056,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,252,0
P000057,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,512,0
P000058,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,245,0
P000059,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,341,1.66
P000060,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,399,0
P000061,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,40,0
P000062,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,492,0
P000063,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,301,0
P000064,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,388,0
P000065,BER,TFB,AA0048BERBOD,AA0084BODTFB,.,349,0
P000066,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,512,0
P000067,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,252,0
P000068,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,512,0.5
P000069,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,245,0
P000070,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,341,1.5
P000071,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,399,0
P000072,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,40,0
P000073,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,492,0
P000074,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,301,0
P000075,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,388,0
P000076,BER,TFB,AA0048BERBOD,AA0096BODTFB,.,349,1
P000077,BOD,BER,AA0047BODBER,.,.,240,4.66
P000078,BOD,BER,AA0047BODBER,.,.,94,0
P000079,BOD,BER,AA0047BODBER,.,.,89,0.33
P000080,BOD,BER,AA0047BODBER,.,.,104,0.67
P000081,BOD,BER,AA0047BODBER,.,.,134,10.98
P000082,BOD,BER,AA0047BODBER,.,.,213,2.33
P000083,BOD,BER,AA0047BODBER,.,.,67,3.33
P000084,BOD,BER,AA0047BODBER,.,.,75,0
P000085,BOD,BER,AA0047BODBER,.,.,97,1
P000086,BOD,BER,AA0047BODBER,.,.,129,1
P000087,BOD,BER,AA0047BODBER,.,.,190,16.01
P000088,BOD,BER,AA0049BODBER,.,.,240,1.72
P000089,BOD,BER,AA0049BODBER,.,.,94,0.04
P000090,BOD,BER,AA0049BODBER,.,.,89,0.36
P000091,BOD,BER,AA0049BODBER,.,.,104,0.34
P000092,BOD,BER,AA0049BODBER,.,.,134,12.14
P000093,BOD,BER,AA0049BODBER,.,.,213,3.06
P000094,BOD,BER,AA0049BODBER,.,.,67,2.96
P000095,BOD,BER,AA0049BODBER,.,.,75,0
P000096,BOD,BER,AA0049BODBER,.,.,97,0.37
P000097,BOD,BER,AA0049BODBER,.,.,129,1.17
P000098,BOD,BER,AA0049BODBER,.,.,190,9.83
P000099,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,509,0
P000100,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,281,0
P000101,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,477,0
P000102,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,354,0
P000103,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,331,0.66
P000104,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,510,0
P000105,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,126,0
P000106,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,586,0
P000107,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,242,0
P000108,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,362,0
P000109,BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,290,0
P000110,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,509,0
P000111,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,281,0
P000112,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,477,0
P000113,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,354,0.79
P000114,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,331,1.3
P000115,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,510,0
P000116,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,126,0
P000117,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,586,0
P000118,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,242,0
P000119,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,362,0.33
P000120,BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,290,0.33
P000121,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,597.21,0
P000122,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,283,0
P000123,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,449,0
P000124,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,273,0.34
P000125,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,329,0
P000126,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,473,0
P000127,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,128,0
P000128,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,624,0
P000129,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,232,0.12
P000130,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,295,0
P000131,BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,323,0.32
P000132,BOD,CFU,AA0041BODCFU,.,.,188,4.35
P000133,BOD,CFU,AA0041BODCFU,.,.,134,0.33
P000134,BOD,CFU,AA0041BODCFU,.,.,223,15.17
P000135,BOD,CFU,AA0041BODCFU,.,.,117,1.67
P000136,BOD,CFU,AA0041BODCFU,.,.,175,11.68
P000137,BOD,CFU,AA0041BODCFU,.,.,245,6.55
P000138,BOD,CFU,AA0041BODCFU,.,.,116,2.67
P000139,BOD,CFU,AA0041BODCFU,.,.,58,0
P000140,BOD,CFU,AA0041BODCFU,.,.,120,0.7
P000141,BOD,CFU,AA0041BODCFU,.,.,67,0.66
P000142,BOD,CFU,AA0041BODCFU,.,.,252,17.58
P000143,BOD,CFU,AA0043BODCFU,.,.,188,1.54
P000144,BOD,CFU,AA0043BODCFU,.,.,134,0.03
P000145,BOD,CFU,AA0043BODCFU,.,.,223,13.31
P000146,BOD,CFU,AA0043BODCFU,.,.,117,0.03
P000147,BOD,CFU,AA0043BODCFU,.,.,175,30.41
P000148,BOD,CFU,AA0043BODCFU,.,.,245,10.58
P000149,BOD,CFU,AA0043BODCFU,.,.,116,16.75
P000150,BOD,CFU,AA0043BODCFU,.,.,58,0
P000151,BOD,CFU,AA0043BODCFU,.,.,120,0.05
P000152,BOD,CFU,AA0043BODCFU,.,.,67,0.03
P000153,BOD,CFU,AA0043BODCFU,.,.,252,25.91
P000154,BOD,CFU,AA0045BODCFU,.,.,188,3.09
