Origin,Destination,Flight1,Flight2,Flight3,Class,Fare,sales_total,true_demand_gompertz,correction_factor,n_stops,duration_min,Host_share
BER,BOD,AA0040BERBOD,.,.,B,230.0,2.29,2.2910755669880682,1.0004696799074533,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,G,100.0,2.0700000000000003,2.0700000000000003,1.0,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,H,105.0,0.66,0.66,1.0,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,K,94.0,0.0,0.0,,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,L,145.0,13.120000000000001,13.120000000000001,1.0,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,M,209.0,3.67,3.671723725246054,1.000469679903557,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,Q,79.0,2.0,2.0,1.0,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,S,45.0,0.0,0.0,,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,T,98.0,0.33,0.33,1.0,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,V,127.0,3.37,3.37,1.0,0,54,0.404173825
BER,BOD,AA0040BERBOD,.,.,Y,184.0,6.3,6.3,1.0,0,54,0.404173825
BER,BOD,AA0048BERBOD,.,.,B,230.0,1.6900000000000002,1.6907937590524358,1.0004696799126838,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,G,100.0,0.0,0.0,,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,H,105.0,0.66,0.66,1.0,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,K,94.0,0.0,0.0,,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,L,145.0,14.47,14.47,1.0,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,M,209.0,11.100000000000001,11.1,0.9999999999999999,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,Q,79.0,1.0,1.0,1.0,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,S,45.0,0.0,0.0,,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,T,98.0,0.33,0.33,1.0,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,V,127.0,0.66,0.66,1.0,0,51,0.404173825
BER,BOD,AA0048BERBOD,.,.,Y,184.0,4.300000000000001,4.3,0.9999999999999998,0,51,0.404173825
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,B,512.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,G,252.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,H,512.0,0.33,0.33,1.0,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,K,245.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,L,341.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,M,399.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,Q,40.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,S,492.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,T,301.0,0.66,0.66,1.0,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,V,388.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0104BODTFB,.,Y,349.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0106BODTFB,.,B,512.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0106BODTFB,.,G,252.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0106BODTFB,.,H,512.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0106BODTFB,.,K,245.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0106BODTFB,.,L,341.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0106BODTFB,.,M,399.0,0.0,0.0,,1,54,0.998076509
BER,TFB,AA0040BERBOD,AA0106BODTFB,.,Q,40.0,0.67,0.67,1.0,1,54,0.998076509
